ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jul 2026,Axian,Yas,Madagascar,Senegal,Communications,Wired telecommunic…,ICT & Internet Infras…,* $122.20m,* 100,Expansion
2,Jul 2026,SYGMA Engineerin…,Sygma Africa Maroc,Switzerland,Senegal,Business services,"Architectural, engine…",Business Services,* $27.80m,* 38,New
3,Jun 2026,AVCI Global,AVCI Global,Turkey,Senegal,Textiles,Clothing & clothing a…,Manufacturing,$9.98m,200,New
4,May 2026,Banque de dévelo…,Banque de dévelo…,Mali,Senegal,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
5,May 2026,Banque de dévelo…,Banque de dévelo…,Mali,Senegal,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
6,May 2026,Banque de dévelo…,Banque de dévelo…,Mali,Senegal,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
7,May 2026,Banque de dévelo…,Banque de dévelo…,Mali,Senegal,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
8,May 2026,Jumia,Jumia,Nigeria,Senegal,Consumer products,General merchandis…,"Logistics, Distributio…",* $56.60m,* 415,Expansion
9,Apr 2026,Gide Loyrette Nouel,Gide Loyrette Nouel,France,Senegal,Business services,Legal services,Business Services,* $27.80m,* 38,New
10,Mar 2026,De Gaulle Fleuran…,De Gaulle Fleuran…,France,Senegal,Business services,Legal services,Business Services,* $27.80m,* 38,New
11,Feb 2026,Hayo,Hayo,United States,Senegal,Communications,Other telecommunic…,"Sales, Marketing & S…",* $4.70m,* 62,New
12,Dec 2025,LUSEO Engineering,LUSEO Engineering,United States,Senegal,Business services,"Architectural, engine…",Business Services,* $27.80m,* 38,New
13,Oct 2025,Indorama,Industries Chimiq…,Singapore,Senegal,Chemicals,"Pesticide, fertilisers …",Manufacturing,* $70.00m,* 93,New
14,Oct 2025,Indorama,Industries Chimiq…,Singapore,Senegal,Chemicals,"Pesticide, fertilisers …",Manufacturing,* $105.00m,* 139,Expansion
15,Oct 2025,Indorama,Industries Chimiq…,Singapore,Senegal,Chemicals,"Pesticide, fertilisers …",Manufacturing,* $35.00m,* 46,Expansion
