ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jun 2022,Econnext,GRIPS Energy,Germany,Senegal,Renewable energy,Other electric power …,"Sales, Marketing & S…",* $22.90m,* 25,New
2,May 2022,BudgIT,BudgIT,Nigeria,Senegal,Business services,"Professional, scientifi…",Business Services,* $27.80m,* 38,New
3,Apr 2022,Endeavour Mining,Endeavour Mining,United Kingdom,Senegal,Metals,Nonferrous metal pr…,Manufacturing,$290.00m,"* 1,985",Expansion
4,Apr 2022,Maystro Delivery,Maystro Delivery,UAE,Senegal,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
5,Mar 2022,Haussmann Group,Haussmann Group,France,Senegal,Real estate,Rental & leasing ser…,Business Services,* $1.90m,* 8,New
6,Mar 2022,Yassir,Yassir,Algeria,Senegal,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $5.20m,* 18,New
7,Jan 2022,Kuehne + Nagel I…,Kuehne + Nagel I…,Switzerland,Senegal,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
8,Nov 2021,Omnium des Indu…,Ciment d'Afrique (…,Morocco,Senegal,Building materials,Cement & concrete p…,Manufacturing,* $408.10m,"* 1,000",New
9,Sep 2021,CrossBoundary,CrossBoundary,Kenya,Senegal,Renewable energy,Solar electric power,Electricity,* $206.10m,* 57,New
10,Aug 2021,Hapag-Lloyd,Hapag-Lloyd,Germany,Senegal,Transportation & Wa…,Water transportation,"Sales, Marketing & S…",* $6.30m,* 18,New
11,Aug 2021,Klingele Paper & P…,Klingele Paper & P…,Germany,Senegal,"Paper, printing & pac…",Converted paper pro…,Manufacturing,$8.88m,40,New
12,Aug 2021,Mitsumi Distribution,Mitsumi Distribution,UAE,Senegal,Business machines &…,Computer & peripher…,"Sales, Marketing & S…",* $11.10m,* 37,New
13,Jul 2021,Groupe Realites,Groupe Realites,France,Senegal,Real estate,Residential building …,"Sales, Marketing & S…",* $2.20m,5,New
14,Jun 2021,Bpifrance,Bpifrance,France,Senegal,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
15,Jan 2021,Jifmar Offshore S…,Jifmar Offshore S…,France,Senegal,"Coal, oil & gas",Support activities for…,Business Services,* $4.50m,* 55,New
