ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jan 2009,Maarch,Maarch,France,Senegal,Business services,Other support services,Business Services,* $6.80m,* 15,New
2,Jan 2009,Sanir Company,Sanir Company,Iran,Senegal,Electronic components,Electric lighting equi…,Manufacturing,* $11.80m,* 157,New
3,Dec 2008,United Bank for Af…,United Bank for Af…,Nigeria,Senegal,Financial services,Retail banking,Business Services,* $11.00m,* 18,New
4,Nov 2008,Studi Group,Studi Group,Tunisia,Senegal,Business services,"Architectural, engine…",Business Services,* $6.80m,* 15,New
5,Nov 2008,VIVEO Group,VIVEO Group,France,Senegal,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.80m,* 16,New
6,Apr 2008,Dubai World,Dubai World,UAE,Senegal,Hotels & tourism,Accommodation,Construction,* $129.80m,* 219,New
7,Apr 2008,Dubai World,Dubai World,UAE,Senegal,Hotels & tourism,Accommodation,Construction,* $129.80m,* 219,New
8,Apr 2008,Dubai World,Dubai World,UAE,Senegal,Hotels & tourism,Accommodation,Construction,* $129.80m,* 219,New
9,Apr 2008,Procter & Gamble …,Procter & Gamble …,United States,Senegal,Consumer products,Other (Consumer pr…,Headquarters,* $16.60m,* 85,New
10,Apr 2008,Tata Group,Tata Motors,India,Senegal,Automotive OEM,Light trucks & utility …,Manufacturing,* $94.50m,* 864,Expansion
11,Jan 2008,Dubai World,Jafza International,UAE,Senegal,Real estate,Real estate services,Construction,$800.00m,"* 3,000",New
12,Jun 2007,DP World,DP World,UAE,Senegal,Transportation & Wa…,Warehousing & stora…,"Logistics, Distributio…",$534.00m,"* 1,107",Expansion
13,Feb 2007,Microsoft,Microsoft,United States,Senegal,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $1.80m,8,New
14,Nov 2006,Altria,Philip Morris USA,United States,Senegal,Food and Beverages,Tobacco,Manufacturing,$25.00m,300,New
15,Nov 2006,Iran Khodro Indus…,Iran Khodro Indus…,Iran,Senegal,Automotive OEM,Automobiles,Manufacturing,$60.00m,* 483,New
