ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Aug 2018,KeyOpsTech,KeyOpsTech,France,Senegal,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
2,Apr 2018,Elahi Enterprises,Akorbi,United States,Senegal,Business services,Business support ser…,Customer Contact C…,* $10.00m,* 514,New
3,Apr 2018,Sika,Sika,Switzerland,Senegal,Building materials,Cement & concrete p…,Manufacturing,* $158.60m,* 496,Co-Location
4,Feb 2018,Baloon Assurance,Baloon Assurance,France,Senegal,Software & IT services,Internet publishing …,"Sales, Marketing & S…",* $5.20m,* 18,New
5,Feb 2018,Partech Ventures,Partech Ventures,France,Senegal,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
6,Nov 2017,Lagardere,Lagardere Service…,France,Senegal,Consumer products,General merchandis…,Retail,* $10.90m,* 170,New
7,Oct 2017,Plac’Force,Plac’Force,France,Senegal,Building materials,Building material & g…,Manufacturing,* $158.60m,* 496,New
8,Aug 2017,Grand Capital,Grand Capital,Russia,Senegal,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
9,Jun 2017,Kamaz,Kamaz,Russia,Senegal,Automotive OEM,Heavy duty trucks,Manufacturing,$56.07m,* 331,New
10,May 2017,Ringier,Pulse Africa,Switzerland,Senegal,Business services,"Newspaper, periodic…",Business Services,* $27.80m,* 38,New
11,Apr 2017,iSon Group,iSON Technologies,Nigeria,Senegal,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
12,Apr 2017,Sika,Sika,Switzerland,Senegal,Chemicals,"Paints, coatings, add…",Manufacturing,* $285.70m,* 455,New
13,Mar 2017,Association Famili…,Auchan Holding (…,France,Senegal,Food and Beverages,Food & beverage ret…,Retail,* $12.70m,* 107,New
14,Feb 2017,Bitzer GmbH,Bitzer GmbH,Germany,Senegal,Industrial equipment,General purpose ma…,"Sales, Marketing & S…",* $2.90m,* 11,New
15,Jan 2017,RCG West Africa,RCG West Africa,Côte d Ivoire,Senegal,Business services,"Advertising, PR, & re…",Business Services,* $27.80m,* 38,New
