ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Mar 2012,MicroCred,MicroCred Senegal,France,Senegal,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
2,Jan 2012,China Central Tele…,China Central Tele…,China,Senegal,Communications,Radio & TV broadcas…,"Sales, Marketing & S…",* $7.50m,* 16,New
3,Jan 2012,Korea Electric Pow…,Korea Electric Pow…,South Korea,Senegal,"Coal, oil & gas",Fossil fuel electric po…,Electricity,$597.04m,* 58,New
4,Sep 2011,HP (Hewlett-Packa…,HP (Hewlett-Packa…,United States,Senegal,Software & IT services,Custom computer pr…,Business Services,* $5.80m,* 16,New
5,Sep 2011,Samsung Group,Samsung Electron…,South Korea,Senegal,Consumer electronics,Other (Consumer ele…,Manufacturing,* $27.20m,* 641,New
6,Sep 2011,Samsung Group,Samsung Electron…,South Korea,Senegal,Consumer electronics,Other (Consumer ele…,Education & Training,* $15.60m,* 94,New
7,Jul 2011,Cummins,Cummins,United States,Senegal,Automotive compon…,Motor vehicle gasolin…,"Sales, Marketing & S…",* $2.30m,* 26,New
8,Jun 2011,MicroCred,MicroCred Senegal,France,Senegal,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
9,Mar 2011,MicroCred,MicroCred Senegal,France,Senegal,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
10,Mar 2011,MicroCred,MicroCred Senegal,France,Senegal,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
11,Feb 2011,Cardinal Resources,Cardinal Resources,United States,Senegal,Business services,"Architectural, engine…",Business Services,* $6.80m,* 15,New
12,Jan 2011,The Emirates Group,Emirates SkyCargo,UAE,Senegal,Transportation & Wa…,Air transportation,"Sales, Marketing & S…",* $15.30m,* 10,New
13,Dec 2010,Atlas Copco,Atlas Copco,Sweden,Senegal,Industrial equipment,"Agriculture, construc…","Sales, Marketing & S…",* $2.90m,* 17,New
14,Oct 2010,Iran Khodro Indus…,Iran Khodro Indus…,Iran,Senegal,Automotive OEM,Automobiles,Manufacturing,$60.00m,* 483,New
15,Sep 2010,Punto FA,Mango,Spain,Senegal,Textiles,Clothing & clothing a…,Retail,* $11.90m,* 86,New
