ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Nov 2016,Huawei Technologi…,Huawei Technologi…,China,Senegal,Communications,Communications equ…,Technical Support Ce…,* $12.70m,* 141,New
2,Jul 2016,Intelcia,Intelcia,Morocco,Senegal,Business services,Business support ser…,Customer Contact C…,* $4.80m,600,New
3,Jun 2016,Millicom Internati…,Tigo Senegal,Luxembourg,Senegal,Communications,Computing infrastruc…,ICT & Internet Infras…,* $122.20m,* 100,New
4,May 2016,Arla Foods,Arla Foods,Denmark,Senegal,Food and Beverages,Dairy products,Manufacturing,* $4.70m,20,New
5,Apr 2016,Agro-Food Industry,Agro-Food Industry,Morocco,Senegal,Food and Beverages,Fruits & vegetables …,"Sales, Marketing & S…",* $4.50m,* 18,New
6,Mar 2016,DS Avocats,DS Avocats,France,Senegal,Business services,Legal services,Business Services,* $27.80m,* 38,New
7,Mar 2016,YKH Holding,Cellcom,Tunisia,Senegal,Communications,Communications equ…,Retail,* $6.30m,* 31,New
8,Feb 2016,GreenWish Partners,GreenWish Partners,France,Senegal,Renewable energy,Solar electric power,Electricity,$28.00m,25,New
9,Feb 2016,Lemon Way,Lemon Way,France,Senegal,Software & IT services,"Software publishers,…","Sales, Marketing & S…",* $5.20m,* 18,New
10,Feb 2016,Riad Motors,Riad Motors,Morocco,Senegal,Automotive OEM,Heavy duty trucks,Manufacturing,$9.93m,* 59,New
11,Dec 2015,Coris Bank Intern…,Coris Bank Intern…,Burkina Faso,Senegal,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
12,Oct 2015,Dubai World,DP World,UAE,Senegal,Real estate,Commercial & institu…,Construction,* $704.50m,* 578,New
13,Aug 2015,Sota Domus,Sota Domus,Germany,Senegal,Real estate,Residential building …,Construction,* $704.50m,* 578,New
14,Jul 2015,C&H Garment Co…,C&H Garment Co…,China,Senegal,Textiles,Clothing & clothing a…,Manufacturing,$25.00m,"1,000",New
15,Jun 2015,Heliconia Group,Heliconia Group,Morocco,Senegal,Aerospace,Aircraft,Maintenance & Servi…,* $31.10m,* 147,New
