ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Dec 2024,Nissan,Nissan,Japan,Senegal,Automotive OEM,Automobiles,Maintenance & Servi…,$9.50m,48,New
2,Dec 2024,You First,You First,Spain,Senegal,Business services,"Advertising, PR, & re…",Business Services,* $27.80m,* 38,New
3,Nov 2024,SciencesPo (Instit…,SciencesPo (Instit…,France,Senegal,Business services,"Schools, colleges, un…",Business Services,* $27.80m,* 38,New
4,Oct 2024,Lapaire,Lapaire,Côte d Ivoire,Senegal,Healthcare,Offices of physicians…,Business Services,* $2.70m,* 39,New
5,Aug 2024,Indalo,Indalo,Switzerland,Senegal,Hotels & tourism,Travel arrangement …,Business Services,* $4.00m,* 55,New
6,Aug 2024,Teichmann Group,T3 Projects,Mauritius,Senegal,Business services,Heavy & civil engine…,Business Services,* $27.80m,* 38,New
7,Jun 2024,Patriot International,Patriot International,Netherlands,Senegal,Industrial equipment,General purpose ma…,"Sales, Marketing & S…",* $2.90m,* 11,New
8,Mar 2024,Bessac,Bessac,France,Senegal,Business services,Heavy & civil engine…,Business Services,* $27.80m,* 38,New
9,Dec 2023,Asantys Systems,Asantys Systems,Germany,Senegal,Business services,"Architectural, engine…",Business Services,* $27.80m,* 38,New
10,Oct 2023,Africar Group,Auto24 Africa,Australia,Senegal,Automotive OEM,Automobiles,"Logistics, Distributio…",* $22.90m,* 93,New
11,Oct 2023,Orange (France Te…,Orange Bank,France,Senegal,Financial services,Retail banking,Business Services,* $9.60m,* 27,New
12,Oct 2023,Sleep.8,Sleep.8,United Kingdom,Senegal,Consumer products,Furniture & related p…,Retail,* $10.90m,* 170,New
13,Jul 2023,China North Indus…,Norinco Internatio…,China,Senegal,Space & defence,Other (Space & defe…,"Sales, Marketing & S…",* $4.50m,* 59,New
14,Jun 2023,Africapractice,Africapractice,South Africa,Senegal,Business services,Management consult…,Business Services,* $27.80m,* 38,New
15,Jun 2023,Fichet Group,Fichet Group,France,Senegal,Business services,Other support services,Business Services,* $27.80m,* 38,New
