ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jul 2025,Agrolimen,GBfoods,Spain,Senegal,Food and Beverages,Seasoning & dressing,Manufacturing,* $45.80m,* 263,Expansion
2,Jul 2025,Al Waly Group,Siltal,Egypt,Senegal,Consumer electronics,Household appliances,Manufacturing,$3.55m,240,New
3,Jul 2025,Yutong Bus,Yutong Bus,China,Senegal,Automotive OEM,Heavy duty trucks,Manufacturing,* $94.80m,* 884,New
4,May 2025,Eventeam,Eventeam,France,Senegal,Business services,"Advertising, PR, & re…",Business Services,* $27.80m,* 38,New
5,Apr 2025,AP Moller - Maersk,AP Moller - Maersk,Denmark,Senegal,Transportation & Wa…,Warehousing & stora…,"Logistics, Distributio…",* $167.70m,* 111,New
6,Mar 2025,TASS Russian Ne…,TASS Russian Ne…,Russia,Senegal,Business services,"Newspaper, periodic…",Business Services,* $27.80m,* 38,New
7,Feb 2025,CF Banque,CF Banque,United Kingdom,Senegal,Financial services,Investment manage…,Business Services,* $9.60m,* 27,New
8,Jan 2025,PAIX Data Centres,PAIX Data Centres,Netherlands,Senegal,Communications,Computing infrastruc…,ICT & Internet Infras…,* $134.80m,20,New
9,Jan 2025,Thoughts and Mac…,Thoughts and Mac…,Nigeria,Senegal,Business services,Legal services,Business Services,* $27.80m,* 38,New
10,Dec 2024,Axian,Axian,Madagascar,Senegal,Renewable energy,Other electric power …,"Logistics, Distributio…",* $29.72m,* 1,Co-Location
11,Dec 2024,Axian,Axian,Madagascar,Senegal,Renewable energy,Solar electric power,Electricity,* $29.73m,* 9,New
12,Dec 2024,Axian,Axian,Madagascar,Senegal,Renewable energy,Solar electric power,Electricity,* $29.72m,* 9,New
13,Dec 2024,Dubai World,DP World,UAE,Senegal,Transportation & Wa…,Water transportation,"Logistics, Distributio…",$1.20bn,"* 3,000",New
14,Dec 2024,EnGreen,EnGreen,Italy,Senegal,Business services,Environmental consu…,Business Services,* $27.80m,* 38,New
15,Dec 2024,Kamaz,Kamaz,Russia,Senegal,Automotive OEM,Heavy duty trucks,Manufacturing,* $94.80m,* 884,New
