ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Jun 2023,Africapractice,Africapractice,South Africa,Senegal,Business services,Management consult…,Business Services,* $27.80m,* 38,New
2,Jun 2023,Fichet Group,Fichet Group,France,Senegal,Business services,Other support services,Business Services,* $27.80m,* 38,New
3,Jun 2023,Honoré Gaming,Honoré Gaming,France,Senegal,Software & IT services,"Video games, applic…","Sales, Marketing & S…",* $5.20m,* 18,New
4,May 2023,GoGlobal,GoGlobal,Japan,Senegal,Business services,Employment services,Business Services,* $27.80m,* 38,New
5,Apr 2023,Bersam & Cie,Bersam & Cie,Morocco,Senegal,Business services,Management consult…,Business Services,* $27.80m,* 38,New
6,Apr 2023,DKK Partners,DKK Partners,United Kingdom,Senegal,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
7,Mar 2023,Elyctis,Elyctis,France,Senegal,Business machines &…,Computer & peripher…,"Sales, Marketing & S…",* $11.10m,* 37,New
8,Feb 2023,Onix Data Centres,Onix Data Centres,Ghana,Senegal,Communications,Computing infrastruc…,ICT & Internet Infras…,* $122.20m,* 100,New
9,Feb 2023,Vivendi (Vivendi U…,Canal+ Groupe,France,Senegal,Communications,Motion picture & sou…,Research & Develop…,* $6.60m,* 84,New
10,Dec 2022,Axess Group,Axess Group,Norway,Senegal,Business services,"Architectural, engine…",Business Services,* $27.80m,* 38,New
11,Nov 2022,Aker ASA,Lekela Power,Norway,Senegal,Renewable energy,Other electric power …,"Logistics, Distributio…",* $116.30m,* 37,Co-Location
12,Oct 2022,Ragni,Ragni,France,Senegal,Electronic components,Electric lighting equi…,"Sales, Marketing & S…",* $1.80m,* 13,New
13,Sep 2022,ACWA Power,ACWA Power,Saudi Arabia,Senegal,"Coal, oil & gas",Fossil fuel electric po…,Electricity,* $679.20m,* 101,New
14,Jul 2022,Orange (France Te…,Sonatel,France,Senegal,Communications,Communications equ…,Research & Develop…,* $6.60m,* 84,New
15,Jun 2022,BioNTech,BioNTech,Germany,Senegal,Biotechnology,Biological products (…,Manufacturing,* $105.60m,* 146,New
