ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Nov 2013,World Freight,Air Logistics Group,United Kingdom,Senegal,Transportation & Wa…,Air transportation,"Sales, Marketing & S…",* $6.30m,* 18,New
2,Aug 2013,Grupa Azoty Spól…,Grupa Azoty Spól…,Poland,Senegal,Chemicals,"Pesticide, fertilisers …",Manufacturing,* $285.70m,* 455,New
3,May 2013,Korea Electric Pow…,Korea Electric Pow…,South Korea,Senegal,"Coal, oil & gas",Fossil fuel electric po…,Electricity,$590.79m,* 39,New
4,May 2013,Orange (France Te…,Orange S.A.,France,Senegal,Communications,Wireless telecommu…,Education & Training,* $11.10m,* 137,New
5,May 2013,Toyota Motor,CFAO Group,Japan,Senegal,Food and Beverages,Food & beverage ret…,Retail,* $12.70m,* 107,New
6,Apr 2013,MicroCred,MicroCred Senegal,France,Senegal,Financial services,Corporate & investm…,Headquarters,* $44.20m,* 93,Expansion
7,Apr 2013,MicroCred,MicroCred Senegal,France,Senegal,Financial services,Corporate & investm…,Business Services,* $9.60m,* 27,New
8,Mar 2013,Jindal Organisatio…,Jindal Steel & Pow…,India,Senegal,"Coal, oil & gas",Fossil fuel electric po…,Electricity,* $679.20m,* 101,New
9,Mar 2013,Millicom Internati…,Jovago.com,Luxembourg,Senegal,Hotels & tourism,Travel arrangement …,"Sales, Marketing & S…",* $1.30m,* 18,New
10,Mar 2013,Wilh. Wilhelmsen …,Wilhelmsen Ships …,Norway,Senegal,Transportation & Wa…,Water transportation,"Sales, Marketing & S…",* $6.30m,* 18,New
11,Jan 2013,LIFI Consultores I…,LIFI Consultores I…,Spain,Senegal,Business services,Management consult…,Business Services,* $27.80m,* 38,New
12,Dec 2012,Dangote Group,Dangote Group,Nigeria,Senegal,Building materials,Cement & concrete p…,Manufacturing,* $367.30m,900,New
13,Oct 2012,Primo Tempo,Primo Tempo,Romania,Senegal,Textiles,Footwear,Manufacturing,* $67.90m,"* 1,375",New
14,Jul 2012,MicroCred,MicroCred Senegal,France,Senegal,Financial services,Corporate & investm…,Business Services,* $4.30m,14,New
15,May 2012,Aljazeera (Al Jaze…,Aljazeera (Al Jaze…,Qatar,Senegal,Communications,Radio & TV broadcas…,"Sales, Marketing & S…",* $4.70m,* 62,New
