pays,region,sens,annee,valeur,poids,edition
ALLEMAGNE,Communauté européenne,export,2015,3484,4704,2019
ALLEMAGNE,Communauté européenne,export,2016,4506,13914,2019
ALLEMAGNE,Communauté européenne,export,2017,2739,3358,2019
ALLEMAGNE,Communauté européenne,export,2018,3149,3472,2019
ALLEMAGNE,Communauté européenne,export,2019,3354,3005,2019
AUTRICHE,Communauté européenne,export,2015,174,44,2019
AUTRICHE,Communauté européenne,export,2016,203,52,2019
AUTRICHE,Communauté européenne,export,2017,226,66,2019
AUTRICHE,Communauté européenne,export,2018,109,22,2019
AUTRICHE,Communauté européenne,export,2019,134,38,2019
BELGIQUE-LUXEMBOURG,Communauté européenne,export,2015,6265,4099,2019
BELGIQUE-LUXEMBOURG,Communauté européenne,export,2016,8093,3599,2019
BELGIQUE-LUXEMBOURG,Communauté européenne,export,2017,5666,23193,2019
BELGIQUE-LUXEMBOURG,Communauté européenne,export,2018,13708,63462,2019
BELGIQUE-LUXEMBOURG,Communauté européenne,export,2019,23076,67550,2019
BULGARIE,Communauté européenne,export,2015,1306,647,2019
BULGARIE,Communauté européenne,export,2016,451,426,2019
BULGARIE,Communauté européenne,export,2017,392,811,2019
BULGARIE,Communauté européenne,export,2018,399,4674,2019
BULGARIE,Communauté européenne,export,2019,235,85,2019
CHYPRE,Communauté européenne,export,2015,425,65,2019
CHYPRE,Communauté européenne,export,2016,622,88,2019
CHYPRE,Communauté européenne,export,2017,590,76,2019
CHYPRE,Communauté européenne,export,2018,744,101,2019
CHYPRE,Communauté européenne,export,2019,661,89,2019
CROATIE,Communauté européenne,export,2015,,,2019
CROATIE,Communauté européenne,export,2016,8,1,2019
CROATIE,Communauté européenne,export,2017,,,2019
CROATIE,Communauté européenne,export,2018,,,2019
CROATIE,Communauté européenne,export,2019,29,21,2019
DANEMARK,Communauté européenne,export,2015,1437,1825,2019
DANEMARK,Communauté européenne,export,2016,969,1332,2019
DANEMARK,Communauté européenne,export,2017,807,1072,2019
DANEMARK,Communauté européenne,export,2018,402,497,2019
DANEMARK,Communauté européenne,export,2019,213,171,2019
ESPAGNE,Communauté européenne,export,2015,41657,153721,2019
ESPAGNE,Communauté européenne,export,2016,51460,113743,2019
ESPAGNE,Communauté européenne,export,2017,60377,94004,2019
ESPAGNE,Communauté européenne,export,2018,74446,73087,2019
ESPAGNE,Communauté européenne,export,2019,87064,117880,2019
FINLANDE,Communauté européenne,export,2015,8,1,2019
FINLANDE,Communauté européenne,export,2016,9,1,2019
FINLANDE,Communauté européenne,export,2017,19,1,2019
FINLANDE,Communauté européenne,export,2018,12,14,2019
FINLANDE,Communauté européenne,export,2019,2844,33005,2019
FRANCE,Communauté européenne,export,2015,53740,156671,2019
FRANCE,Communauté européenne,export,2016,41561,61347,2019
FRANCE,Communauté européenne,export,2017,43160,38322,2019
FRANCE,Communauté européenne,export,2018,45328,39620,2019
FRANCE,Communauté européenne,export,2019,47442,32454,2019
GRECE,Communauté européenne,export,2015,5162,1111,2019
GRECE,Communauté européenne,export,2016,4465,1011,2019
GRECE,Communauté européenne,export,2017,3662,568,2019
GRECE,Communauté européenne,export,2018,3101,434,2019
GRECE,Communauté européenne,export,2019,4598,738,2019
HONGRIE,Communauté européenne,export,2015,3,0,2019
HONGRIE,Communauté européenne,export,2016,576,0,2019
HONGRIE,Communauté européenne,export,2017,3,7,2019
HONGRIE,Communauté européenne,export,2018,39,4,2019
HONGRIE,Communauté européenne,export,2019,89,110,2019
IRLANDE,Communauté européenne,export,2015,252,230,2019
IRLANDE,Communauté européenne,export,2016,1268,85,2019
IRLANDE,Communauté européenne,export,2017,1,5,2019
IRLANDE,Communauté européenne,export,2018,8,24,2019
IRLANDE,Communauté européenne,export,2019,20,200,2019
ITALIE,Communauté européenne,export,2015,43216,44428,2019
ITALIE,Communauté européenne,export,2016,35525,20234,2019
ITALIE,Communauté européenne,export,2017,42321,26289,2019
ITALIE,Communauté européenne,export,2018,57563,38587,2019
ITALIE,Communauté européenne,export,2019,57896,38824,2019
MALTE,Communauté européenne,export,2015,323,108,2019
MALTE,Communauté européenne,export,2016,398,72,2019
MALTE,Communauté européenne,export,2017,354,63,2019
MALTE,Communauté européenne,export,2018,347,61,2019
MALTE,Communauté européenne,export,2019,230,41,2019
PAYS BAS,Communauté européenne,export,2015,21695,79999,2019
PAYS BAS,Communauté européenne,export,2016,17454,36781,2019
PAYS BAS,Communauté européenne,export,2017,25196,35325,2019
PAYS BAS,Communauté européenne,export,2018,26939,37334,2019
PAYS BAS,Communauté européenne,export,2019,25183,32389,2019
POLOGNE,Communauté européenne,export,2015,13058,283204,2019
POLOGNE,Communauté européenne,export,2016,8384,201750,2019
POLOGNE,Communauté européenne,export,2017,2824,73690,2019
POLOGNE,Communauté européenne,export,2018,1732,41957,2019
POLOGNE,Communauté européenne,export,2019,5585,81669,2019
PORTUGAL,Communauté européenne,export,2015,4842,10275,2019
PORTUGAL,Communauté européenne,export,2016,8837,6874,2019
PORTUGAL,Communauté européenne,export,2017,6694,2315,2019
PORTUGAL,Communauté européenne,export,2018,5567,2641,2019
PORTUGAL,Communauté européenne,export,2019,5438,3690,2019
REPUBLIQUE D'ESTONIE,Communauté européenne,export,2015,,,2019
REPUBLIQUE D'ESTONIE,Communauté européenne,export,2016,,,2019
REPUBLIQUE D'ESTONIE,Communauté européenne,export,2017,,,2019
REPUBLIQUE D'ESTONIE,Communauté européenne,export,2018,23,52,2019
REPUBLIQUE D'ESTONIE,Communauté européenne,export,2019,3,2,2019
REPUBLIQUE DE LETTONIE,Communauté européenne,export,2015,143,224,2019
REPUBLIQUE DE LETTONIE,Communauté européenne,export,2016,55,57,2019
REPUBLIQUE DE LETTONIE,Communauté européenne,export,2017,2,2,2019
REPUBLIQUE DE LETTONIE,Communauté européenne,export,2018,46,168,2019
REPUBLIQUE DE LETTONIE,Communauté européenne,export,2019,,,2019
REPUBLIQUE DE LITUANIE,Communauté européenne,export,2015,,,2019
REPUBLIQUE DE LITUANIE,Communauté européenne,export,2016,6,20,2019
REPUBLIQUE DE LITUANIE,Communauté européenne,export,2017,,,2019
REPUBLIQUE DE LITUANIE,Communauté européenne,export,2018,8,4,2019
REPUBLIQUE DE LITUANIE,Communauté européenne,export,2019,,,2019
