ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Nov 2025,Onlayer,Onlayer,United Kingdom,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$8.20m,-
2,Nov 2025,SolarSaver,SolarSaver,South Africa,Zambia,Electronic components,n/a,New Funding/Resour...,$60.00m,-
3,Nov 2025,AdsAdvisor,AdsAdvisor,Netherlands,Middle East,Software & IT services,n/a,New Investment Stra...,-,-
4,Nov 2025,BKN301,BKN301,United Kingdom,Middle East,Software & IT services,n/a,New Funding/Resour...,$13.19m,-
5,Nov 2025,Mirana Toys,Mirana Toys,India,Middle East,Consumer products,n/a,New Funding/Resour...,$6.40m,-
6,Nov 2025,WildyNess,WildyNess,Tunisia,Saudi Arabia,Software & IT services,n/a,New Funding/Resour...,-,-
7,Nov 2025,Bluworks,Bluworks,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
8,Nov 2025,Payward (Kraken),Payward (Kraken),United States,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$800.00m,-
9,Nov 2025,Nabta Health,Nabta Health,UAE,Middle East,Healthcare,n/a,New Funding/Resour...,$2.00m,-
10,Nov 2025,Squadio,Squadio,Saudi Arabia,United States,Business services,n/a,New Funding/Resour...,$3.00m,-
11,Nov 2025,Farm to Feed,Farm to Feed,Kenya,Africa,Software & IT services,n/a,New Funding/Resour...,$1.50m,-
12,Nov 2025,Born Creators,Born Creators,Australia,Middle East,Software & IT services,n/a,New Investment Stra...,-,-
13,Oct 2025,Smart Grid Analy...,Smart Grid Analy...,India,North America,Renewable energy,n/a,New Funding/Resour...,$3.30m,-
14,Oct 2025,Sehatech,Sehatech,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$1.10m,-
15,Oct 2025,Cercli,Cercli,UAE,North America,Software & IT services,n/a,New Funding/Resour...,$12.00m,-
