ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Oct 2022,ZenHR,ZenHR,Saudi Arabia,Lebanon,Software & IT services,n/a,New Funding/Resour...,$10.00m,-
2,Oct 2022,Stears,Stears,Nigeria,Kenya,Business services,n/a,New Funding/Resour...,$3.30m,-
3,Oct 2022,Chari.ma,Chari.ma,Morocco,Africa,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
4,Oct 2022,Talk360,Talk360,Netherlands,Africa,Software & IT services,n/a,New Funding/Resour...,$3.00m,-
5,Oct 2022,iiDENTIFii,iiDENTIFii,South Africa,Africa,Software & IT services,n/a,New Funding/Resour...,$15.20m,-
6,Oct 2022,Numida Technolo...,Numida Technolo...,Uganda,Nigeria,Software & IT services,n/a,New Funding/Resour...,$12.30m,-
7,Oct 2022,Flow Equity LLC,Flow Equity LLC,United States,Africa,Food and Beverages,n/a,New Funding/Resour...,$14.00m,-
8,Oct 2022,Livestock Wealth,Livestock Wealth,South Africa,Africa,Software & IT services,n/a,New Funding/Resour...,$0.55m,-
9,Sep 2022,Farmerline,Farmerline,Ghana,Côte d Ivoire,Software & IT services,n/a,New Funding/Resour...,$1.50m,-
10,Sep 2022,Julaya,Julaya,Côte d Ivoire,Benin,Software & IT services,n/a,New Funding/Resour...,$5.00m,-
11,Sep 2022,PPC Protect,PPC Protect,United Kingdom,North America,Software & IT services,n/a,New Funding/Resour...,$15.00m,-
12,Sep 2022,Binocs,Binocs,India,United States,Software & IT services,n/a,New Funding/Resour...,$4.00m,-
13,Sep 2022,Vendease,Vendease,Nigeria,Ghana,Food and Beverages,n/a,New Funding/Resour...,$30.00m,-
14,Sep 2022,Lux Actuaries & C...,Lux Actuaries & C...,UAE,Middle East,Financial services,"Sales, Marketing & ...",New Investment Stra...,-,-
15,Sep 2022,Aerodyne,Aerodyne,Malaysia,Latin America & C...,Aerospace,n/a,New Funding/Resour...,$30.00m,-
