ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Apr 2019,Eyewa,Eyewa,UAE,Middle East,Consumer products,n/a,New Funding/Resour...,-,-
2,Apr 2019,Bombardier,Bombardier,Canada,Ghana,Non-automotive tran...,n/a,New Investment Stra...,-,-
3,Apr 2019,Deutsche Post,DHL eCommerce ...,Germany,Nigeria,Transportation & War...,n/a,New Investment Stra...,-,-
4,Apr 2019,SunErgy,SunErgy,Norway,Cameroon,Renewable energy,n/a,New Funding/Resour...,-,-
5,Apr 2019,Ziqitza Health Care,Ziqitza Health Care,India,Bahrain,Healthcare,n/a,New Funding/Resour...,-,$40.00m
6,Apr 2019,Essel Group,Zee Entertainme...,India,Malaysia,Communications,n/a,New Investment Stra...,-,-
7,Apr 2019,Branch Internatio...,Branch Internatio...,United States,India,Financial services,n/a,New Funding/Resour...,-,$170.00m
8,Apr 2019,Hinduja Group,Ashok Leyland,India,Kyrgyzstan,Automotive OEM,Manufacturing,Considering Project (...,-,-
9,Apr 2019,Scribnia,SeatGeek,Canada,Asia-Pacific,Software & IT services,n/a,New Investment Stra...,-,-
10,Apr 2019,Rolls-Royce Holdi...,Rolls-Royce Holdi...,United Kingdom,Africa,Aerospace,n/a,Considering Project (...,-,-
11,Apr 2019,SeamlessHR,SeamlessHR,Nigeria,Ghana,Software & IT services,n/a,New Funding/Resour...,-,-
12,Apr 2019,Brimore,Brimore,Egypt,Africa,Software & IT services,n/a,New Funding/Resour...,-,$0.80m
13,Apr 2019,Segment,Segment,United States,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,-,-
14,Apr 2019,Atos (Atos Origin),Unify,France,Turkey,Software & IT services,n/a,New Investment Stra...,-,-
15,Apr 2019,HelloMD,HelloMD,United States,South Africa,Pharmaceuticals,n/a,New Investment Stra...,-,-
