ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2021,Zurich Capital Fu...,Zurich Capital Fu...,United Kingdom,Asia-Pacific,Financial services,n/a,New Funding/Resour...,$20.00m,-
2,Jul 2021,UDrive,UDrive,UAE,Turkey,Automotive OEM,n/a,New Funding/Resour...,$5.00m,-
3,Jul 2021,3i Infotech,3i Infotech,India,Asia-Pacific,Software & IT services,n/a,New Investment Stra...,-,-
4,Jul 2021,DataRobot,DataRobot,United States,Japan,Software & IT services,n/a,New Funding/Resour...,$300.00m,-
5,Jul 2021,FuelBuddy,FuelBuddy,India,Saudi Arabia,"Coal, oil & gas",n/a,New Investment Stra...,-,-
6,Jul 2021,Inkbit,Inkbit,United States,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$30.00m,-
7,Jul 2021,Sabbar,Sabbar,Saudi Arabia,Pakistan,Business services,n/a,New Funding/Resour...,$4.00m,-
8,Jul 2021,Gaist,Gaist,United Kingdom,Australia,Software & IT services,n/a,New Funding/Resour...,$2.88m,-
9,Jul 2021,Taager,Taager,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$6.40m,-
10,Jul 2021,VTEX,VTEX,Brazil,United States,Software & IT services,n/a,New Funding/Resour...,$361.00m,-
11,Jul 2021,Lidya,Lidya,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
12,Jul 2021,Oxford Flow,Oxford Flow,United Kingdom,North America,Industrial equipment,n/a,New Investment Stra...,-,-
13,Jul 2021,AIfluence,AIfluence,United States,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
14,Jul 2021,Event Temple,Event Temple,Canada,Middle East,Software & IT services,n/a,New Investment Stra...,-,-
15,Jul 2021,Tix Africa (Festiv...,Tix Africa (Festiv...,Nigeria,Kenya,Software & IT services,n/a,New Funding/Resour...,-,-
