ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2017,Dubai Islamic Ba...,Dubai Islamic Ba...,UAE,Africa,Financial services,n/a,New Investment Stra...,-,-
2,Jul 2017,Kuwait Finance H...,Kuwait Finance H...,Kuwait,Egypt,Financial services,Business Services,Considering Project (...,-,-
3,Jul 2017,Oracle,Oracle,United States,Middle East,Software & IT serv...,n/a,New Investment Stra...,-,-
4,Jul 2017,Incorta,Incorta,United States,Middle East,Software & IT serv...,n/a,New Personnel,-,-
5,Jul 2017,Swvl,Swvl,Egypt,Middle East,Software & IT serv...,n/a,New Funding/Resour...,-,$0.50m
6,Jul 2017,Octavian Security,Octavian Security,United Kingdom,Asia-Pacific,Business services,n/a,New Investment Stra...,-,-
7,Jul 2017,Bosta,Bosta,Egypt,Middle East,Transportation & ...,n/a,New Funding/Resour...,-,-
8,Jul 2017,Nosto Solutions,Nosto Solutions,Finland,North America,Software & IT serv...,n/a,New Funding/Resour...,-,-
9,Jul 2017,ANI Technologies ...,ANI Technologies ...,India,Asia-Pacific,Software & IT serv...,n/a,New Investment Stra...,-,-
10,Jul 2017,tinyclues,tinyclues,France,Middle East,Software & IT serv...,n/a,New Investment Stra...,-,-
11,Jun 2017,Sing Fuels,Sing Fuels,Singapore,Africa,Chemicals,n/a,Considering Project (...,-,-
12,Jun 2017,TRINE,TRINE,Sweden,Africa,Financial services,n/a,New Funding/Resour...,-,-
13,Jun 2017,Avit,Avit,Netherlands,Middle East,Communications,Business Services,Considering Project (...,-,-
14,Jun 2017,WhereIsMyTransp...,WhereIsMyTransp...,South Africa,Africa,Software & IT serv...,Unspecified,New Funding/Resour...,-,-
15,Jun 2017,Mediafly,Mediafly,United States,Middle East,Software & IT serv...,n/a,New Investment Stra...,-,-
