ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Aug 2017,InTouch,InTouch,Senegal,Africa,Software & IT serv...,Unspecified,New Investment Stra...,-,-
2,Aug 2017,Fast Retailing,Uniqlo,Japan,Ethiopia,Textiles,Manufacturing,Considering Project (...,-,-
3,Aug 2017,Parry Building pr...,Parry Building pr...,United Kingdom,Zimbabwe,Building materials,n/a,Considering Project (...,-,-
4,Aug 2017,Neopharma,Neopharma,UAE,Asia-Pacific,Pharmaceuticals,n/a,New Investment Stra...,-,-
5,Aug 2017,Thermax,Thermax,India,Latin America & C...,Business services,n/a,New Investment Stra...,-,-
6,Aug 2017,Careem,Careem,UAE,Middle East,Software & IT serv...,n/a,New Funding/Resour...,-,-
7,Aug 2017,Comcast,Golfnow,United States,Asia-Pacific,Software & IT serv...,n/a,New Investment Stra...,-,-
8,Aug 2017,Mobisol,Mobisol,Germany,Africa,Electronic compon...,n/a,New Funding/Resour...,-,-
9,Aug 2017,Flutterwave,Flutterwave,United States,Africa,Software & IT serv...,n/a,New Funding/Resour...,-,-
10,Aug 2017,Bolt (Taxify),Bolt (Taxify),Estonia,Africa,Software & IT serv...,n/a,New Investment Stra...,-,-
11,Aug 2017,Blue Cedar,Blue Cedar,United States,Middle East,Software & IT serv...,n/a,New Personnel,-,-
12,Jul 2017,Yoco,Yoco,South Africa,Africa,Business machines &...,n/a,New Investment Stra...,-,-
13,Jul 2017,CrowdStrike,CrowdStrike,United States,Middle East,Software & IT serv...,"Sales, Marketing...",Considering Project (...,-,-
14,Jul 2017,Netlog Logistics ...,Netlog Logistics ...,Turkey,Middle East,Transportation & ...,n/a,New Funding/Resour...,-,-
15,Jul 2017,Dubai Islamic Ba...,Dubai Islamic Ba...,UAE,Africa,Financial services,n/a,New Investment Stra...,-,-
