ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Oct 2014,Pick n Pay Holdings,Pick n Pay,South Africa,Africa,Food and Beverages,n/a,New Investment Stra...,-,-
2,Oct 2014,Booz Allen Hamilt...,Booz Allen Hamilt...,United States,Middle East,Business services,n/a,New Investment Stra...,-,-
3,Oct 2014,Virool,Virool,United States,Middle East,Software & IT serv...,n/a,New Investment Stra...,-,-
4,Oct 2014,Onlime,Onlime,Germany,Africa,Communications,ICT & Internet Inf...,Considering Project (...,-,-
5,Oct 2014,Cube Movers,Cube Movers,Kenya,Africa,Transportation & ...,"Sales, Marketing & ...",Considering Project (...,-,-
6,Oct 2014,Indiana University,Indiana University,United States,Asia-Pacific,Business services,Business Services,Considering Project (...,-,-
7,Oct 2014,NuSep Holdings,PrIME Biologics,Australia,Asia-Pacific,Automotive compo...,Manufacturing,Considering Project (...,-,-
8,Oct 2014,BizEquity,BizEquity,United States,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,-,$5.10m
9,Oct 2014,Truecaller,Truecaller,Sweden,Middle East,Software & IT serv...,"Sales, Marketing ...",Considering Projec...,-,-
10,Oct 2014,Jaina Group,Karbonn Mobiles,India,Asia-Pacific,Communications,n/a,New Funding/Resour...,-,-
11,Oct 2014,Yinson Holdings,Yinson Holdings,Malaysia,Latin America & C...,"Coal, oil & gas","Sales, Marketing ...",Considering Projec...,-,-
12,Oct 2014,Wananchi Group ...,Wananchi Group ...,Kenya,Africa,Communications,ICT & Internet Inf...,Considering Projec...,-,-
13,Oct 2014,Zinox Technologies,Zinox Technologies,Nigeria,Africa,Business machines...,"Sales, Marketing & ...",Considering Project (...,-,-
14,Oct 2014,Abu Dhabi Nation...,Abu Dhabi Nation...,UAE,Middle East,Financial services,n/a,New Investment Stra...,-,-
15,Oct 2014,Renault,Renault,France,Morocco,Automotive compo...,Manufacturing,Considering Project (...,-,-
