ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2017,EOH,EOH,South Africa,Middle East,Business services,n/a,New Investment Stra...,-,-
2,Mar 2017,Dubai World,DP World,UAE,Latin America & C...,Transportation & ...,n/a,New Investment Stra...,-,-
3,Mar 2017,Toyota Motor,Toyota Uganda,Japan,Uganda,Automotive OEM,Manufacturing,Considering Project (...,-,-
4,Mar 2017,Payment Cloud T...,Payment Cloud T...,United Kingdom,Africa,Software & IT serv...,n/a,New Investment Stra...,-,-
5,Mar 2017,PPC (Pretoria Por...,PPC (Pretoria Por...,South Africa,Africa,Building materials,n/a,New Investment Stra...,-,-
6,Mar 2017,Al-Futtaim Group,Al-Futtaim Group,UAE,Middle East,Consumer products,Retail,Considering Project (...,-,-
7,Mar 2017,Berry Appleman ...,Berry Appleman ...,United States,Middle East,Business services,Business Services,New Investment Stra...,-,-
8,Mar 2017,UNICAF,UNICAF,Cyprus,Africa,Business services,Education & Training,Considering Projec...,-,$12.00m
9,Mar 2017,Rotana Hotels,Rotana Hotels,UAE,Africa,Hotels & tourism,Construction,Considering Project (...,-,-
10,Mar 2017,Nestle,Nestle,Switzerland,Ethiopia,Food and Beverages,Manufacturing,Considering Project (...,-,-
11,Mar 2017,iFlix,iFlix,Malaysia,Middle East,Software & IT serv...,n/a,New Funding/Resour...,-,-
12,Mar 2017,ForgeRock,ForgeRock,United States,Latin America & C...,Software & IT serv...,n/a,New Personnel,-,-
13,Mar 2017,Wakanow,Wakanow,Nigeria,Africa,Hotels & tourism,"Sales, Marketing ...",Considering Project (...,-,-
14,Mar 2017,Unilever,Unilever,United Kingdom,Ethiopia,Chemicals,Manufacturing,Considering Project (...,-,-
15,Mar 2017,Dangote Group,Dangote Group,Nigeria,Africa,"Coal, oil & gas",Electricity,Considering Projec...,-,-
