ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jan 2023,SafeTrack,SafeTrack,Morocco,Africa,Industrial equipment,n/a,New Funding/Resour...,$0.75m,-
2,Jan 2023,Moja Ride,Moja Ride,Côte d Ivoire,Africa,Software & IT services,n/a,New Funding/Resour...,$0.75m,-
3,Jan 2023,Jand2Gidi,Jand2Gidi,Nigeria,Africa,Transportation & War...,n/a,New Funding/Resour...,$0.75m,-
4,Jan 2023,Parkwella (Parkw...,Parkwella (Parkw...,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$0.75m,-
5,Jan 2023,Limawa,Limawa,Côte d Ivoire,Africa,Automotive OEM,n/a,New Funding/Resour...,$0.75m,-
6,Jan 2023,BD Waste,BD Waste,Ghana,Africa,Business services,n/a,New Funding/Resour...,$0.75m,-
7,Jan 2023,Sodishop,Sodishop,Mali,Africa,Consumer products,n/a,New Funding/Resour...,$0.75m,-
8,Jan 2023,PharmaServ,PharmaServ,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$0.75m,-
9,Jan 2023,Kyanda Africa,Kyanda Africa,Kenya,Africa,Software & IT services,n/a,New Funding/Resour...,$0.75m,-
10,Jan 2023,The Edit LDN,The Edit LDN,United Kingdom,United States,Textiles,n/a,New Funding/Resour...,$4.80m,-
11,Jan 2023,Oxa (Oxbotica),Oxa (Oxbotica),United Kingdom,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$140.00m,-
12,Jan 2023,Minka,Minka,Colombia,Latin America & C...,Software & IT services,n/a,New Investment Stra...,-,-
13,Jan 2023,Leva Hotels,Leva Hotels,UAE,Saudi Arabia,Hotels & tourism,Construction,Considering Project (...,-,-
14,Jan 2023,Eon Dental,Eon Dental,Jordan,United States,Healthcare,n/a,New Funding/Resour...,$26.00m,-
15,Dec 2022,HDF Energy (Hyd...,HDF Energy (Hyd...,France,Africa,Renewable energy,n/a,New Investment Stra...,-,-
