ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Nov 2024,Agility,Agility,Kuwait,Morocco,Transportation & War...,n/a,New Investment Stra...,-,-
2,Nov 2024,MyHealthcare,MyHealthcare,India,Asia-Pacific,Software & IT services,n/a,New Investment Stra...,-,-
3,Nov 2024,Procmart,Procmart,India,Asia-Pacific,Software & IT services,n/a,New Investment Stra...,-,-
4,Nov 2024,Econet Global,Africa Data Centr...,Mauritius,Nigeria,Communications,ICT & Internet Infra...,New Investment Stra...,-,-
5,Nov 2024,Petrobras,Petrobras,Brazil,South Africa,"Coal, oil & gas",n/a,New Investment Stra...,-,-
6,Nov 2024,BP (British Petrol...,BP (British Petrol...,United Kingdom,Libya,"Coal, oil & gas",n/a,New Investment Stra...,-,$500.00m
7,Nov 2024,The Emirates Gro...,Emirates Airline,UAE,Africa,Hotels & tourism,"Sales, Marketing & ...",Considering Project (...,-,-
8,Nov 2024,Zamil Group,Zamil Steel Indus...,Saudi Arabia,Morocco,Metals,n/a,New Investment Stra...,-,-
9,Nov 2024,Assura,Assura,United Kingdom,South Africa,Real estate,n/a,New Investment Stra...,-,-
10,Nov 2024,BuzzAR,BuzzAR,Singapore,Middle East,Software & IT services,n/a,New Funding/Resour...,$1.16m,-
11,Nov 2024,NetZero,NetZero,France,Africa,Minerals,Manufacturing,Considering Projec...,$7.40m,-
12,Nov 2024,Pass,Pass,Qatar,Saudi Arabia,Software & IT services,n/a,New Funding/Resour...,$2.70m,-
13,Nov 2024,Jetbuilt,Jetbuilt,United States,Middle East,Software & IT services,n/a,New Investment Stra...,-,-
14,Nov 2024,Public Investmen...,Lucid Motors,Saudi Arabia,Bahrain,Automotive OEM,n/a,New Investment Stra...,-,-
15,Nov 2024,Beacon Power Se...,Beacon Power Se...,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
