ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Sep 2023,Lupiya,Lupiya,Zambia,Africa,Financial services,n/a,New Funding/Resour...,$8.25m,-
2,Sep 2023,Zhone Technologi...,Zhone Technologi...,United States,India,Communications,n/a,New Funding/Resour...,$29.70m,-
3,Sep 2023,Zoho (AdventNet),Zoho (AdventNet),India,Africa,Software & IT services,"Sales, Marketing & ...",Considering Project (...,-,-
4,Sep 2023,ADDX,ADDX,Singapore,Bahrain,Software & IT services,n/a,New Investment Stra...,-,-
5,Sep 2023,Vingroup,VinFast,Vietnam,Malaysia,Automotive OEM,n/a,New Investment Stra...,-,-
6,Sep 2023,Gigawatt Global,Gigawatt Global,Netherlands,Africa,Renewable energy,Electricity,Considering Project (...,-,-
7,Sep 2023,Far-Eastern Ship...,FESCO Transport ...,Russia,India,Transportation & War...,"Logistics, Distributio...",Considering Project (...,-,-
8,Sep 2023,True Religion App...,True Religion App...,United States,India,Textiles,Retail,Considering Project (...,-,-
9,Sep 2023,Agro Processor At...,Soya Supreme,Pakistan,Middle East,Food and Beverages,n/a,New Investment Stra...,-,-
10,Sep 2023,AMEA Power,AMEA Power,UAE,Djibouti,Renewable energy,Electricity,Considering Projec...,-,-
11,Sep 2023,Worldwide Freigh...,Worldwide Freigh...,United Kingdom,Asia-Pacific,Transportation & War...,n/a,New Investment Stra...,-,-
12,Sep 2023,Mitsui OSK Lines ...,Mitsui OSK Lines ...,Japan,Africa,Transportation & War...,n/a,New Investment Stra...,-,-
13,Sep 2023,Kotani Pay,Kotani Pay,Kenya,Nigeria,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
14,Sep 2023,Prudential,Prudential,United Kingdom,India,Financial services,n/a,New Investment Stra...,-,-
15,Sep 2023,The Ayurveda Co...,The Ayurveda Co...,India,Middle East,Consumer products,Retail,Considering Project (...,-,-
