ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2014,Coca-Cola,Coca-Cola,United States,Egypt,Food and Beverages,n/a,New Investment Stra...,-,$500.00m
2,Feb 2014,SAP,SAP,Germany,Africa,Software & IT serv...,ICT & Internet Inf...,Considering Project (...,-,-
3,Feb 2014,Carlyle Group,Carlyle Group,United States,Africa,Financial services,Business Services,Considering Project (...,-,-
4,Feb 2014,Scatec AS,Scatec Solar,Norway,Africa,Renewable energy,Electricity,Considering Project (...,-,-
5,Feb 2014,Sunbulah Group,Sunbulah Group,Saudi Arabia,Asia-Pacific,Food and Beverages,n/a,New Investment Stra...,-,-
6,Feb 2014,Ezetap,Ezetap,India,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,-,$8.00m
7,Feb 2014,SolarReserve,SolarReserve,United States,Middle East,Renewable energy,"Sales, Marketing ...",Considering Project (...,-,-
8,Feb 2014,Leoni,LEONI Wiring Sys...,Germany,Tunisia,Electronic compon...,n/a,New Investment Stra...,-,-
9,Feb 2014,Housing Finance,Housing Finance,Kenya,Africa,Financial services,Business Services,Considering Project (...,-,-
10,Feb 2014,General Mills,General Mills,United States,Asia-Pacific,Food and Beverages,Unspecified,New Investment Stra...,-,-
11,Feb 2014,Fawaz Alhokair G...,Fawaz Alhokair G...,Saudi Arabia,Middle East,Textiles,Retail,Considering Project (...,-,-
12,Feb 2014,Hankook & Comp...,Hankook & Comp...,South Korea,Latin America & C...,Rubber,Manufacturing,Considering Project (...,-,-
13,Feb 2014,Nitro Sibir,Nitro Sibir,Russia,North America,Chemicals,n/a,Considering Project (...,-,-
14,Feb 2014,Tintri,Tintri,United States,North America,Software & IT serv...,"Sales, Marketing & ...",Considering Project (...,-,-
15,Feb 2014,Housing.com,Housing.com,India,South Africa,Software & IT serv...,n/a,New Investment Stra...,-,-
