ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Aug 2011,eSolar,eSolar,United States,North America,Electronic compon...,Unspecified,New Investment Stra...,-,-
2,Aug 2011,Procter & Gamble...,Procter & Gamble...,United States,Africa,Consumer products,Unspecified,New Investment Stra...,-,-
3,Aug 2011,Ruia Group,Ruia Group,India,Africa,Rubber,n/a,New Investment Stra...,-,-
4,Aug 2011,Oracle,Oracle,United States,Middle East,Software & IT serv...,n/a,New Investment Stra...,-,-
5,Aug 2011,Roland Berger St...,Roland Berger St...,Germany,Latin America & C...,Business services,n/a,New Investment Stra...,-,$141.20m
6,Aug 2011,Suzlon Energy,Suzlon Energy,India,South Africa,Engines & turbines,Manufacturing,Considering Project (...,-,-
7,Aug 2011,AfrAsia Bank,AfrAsia Bank,Mauritius,Africa,Financial services,n/a,New Investment Stra...,-,-
8,Aug 2011,Grupo Clavijo,Grupo Clavijo,Spain,Asia-Pacific,Renewable energy,n/a,New Investment Stra...,-,-
9,Aug 2011,Interpublic Group...,Weber Shandwick,United States,Africa,Business services,Unspecified,New Personnel,-,-
10,Aug 2011,Nokia,Nokia,Finland,Ethiopia,Communications,Manufacturing,Considering Projec...,-,-
11,Aug 2011,Degerenergie,Degerenergie,Germany,Africa,Communications,Manufacturing,Considering Project (...,-,-
12,Jul 2011,Fawaz Alhokair G...,Fawaz Alhokair G...,Saudi Arabia,Middle East,Textiles,Retail,Considering Project (...,-,-
13,Jul 2011,European Bank fo...,European Bank fo...,United Kingdom,Middle East,Financial services,Unspecified,New Investment Stra...,-,-
14,Jul 2011,Automark Industr...,Automark Industr...,India,Kenya,Chemicals,Manufacturing,Considering Projec...,-,$130.37m
15,Jul 2011,Samsung Group,Samsung Electro...,South Korea,Africa,Consumer electron...,Manufacturing,Considering Project (...,-,-
