ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2013,OM Residual UK (...,OM Residual UK (...,United Kingdom,Africa,Financial services,Unspecified,New Investment Stra...,-,$554.36m
2,Feb 2013,Cambium Networ...,Cambium Networ...,United States,Nigeria,Communications,Unspecified,New Investment Stra...,-,-
3,Feb 2013,Greiner,Greiner,Austria,Lesotho,Plastics,Unspecified,New Investment Stra...,-,-
4,Feb 2013,East African Portl...,East African Portl...,Kenya,Tanzania,Building materials,n/a,New Investment Stra...,-,-
5,Feb 2013,ATG Access,ATG Access,United Kingdom,Latin America & C...,Industrial equipme...,n/a,New Funding/Resour...,-,-
6,Feb 2013,Aramex Internati...,Aramex Internati...,UAE,Asia-Pacific,Transportation & ...,Unspecified,New Investment Stra...,-,-
7,Feb 2013,Stic Travel Group,Stic Travel Group,India,Africa,Hotels & tourism,"Sales, Marketing ...",Considering Project (...,-,-
8,Feb 2013,Onomo Hotels,Onomo Hotels,Senegal,Africa,Hotels & tourism,Construction,Considering Project (...,-,-
9,Jan 2013,Hinduja Group,Hinduja Group,India,Africa,Financial services,n/a,New Investment Stra...,-,-
10,Jan 2013,Conergy,Conergy,Germany,Latin America & C...,Electronic compon...,Unspecified,New Investment Stra...,-,-
11,Jan 2013,PPC (Pretoria Por...,PPC (Pretoria Por...,South Africa,Kenya,Building materials,Manufacturing,Considering Project (...,-,-
12,Jan 2013,Core Group of So...,Core Group Africa...,South Africa,Nigeria,Business machines...,Unspecified,New Personnel,-,-
13,Jan 2013,Orange (France T...,Orange (France T...,France,Middle East,Communications,Unspecified,New Investment Stra...,-,-
14,Jan 2013,Top Glove,Top Glove,Malaysia,Asia-Pacific,Rubber,Manufacturing,Considering Project (...,-,-
15,Jan 2013,United India Insu...,United India Insu...,India,Asia-Pacific,Financial services,Unspecified,New Investment Stra...,-,-
