ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2023,Invictus Investm...,Invictus Investm...,UAE,Kenya,Financial services,n/a,New Investment Stra...,-,$272.25m
2,Jul 2023,Arrcus,Arrcus,United States,India,Software & IT services,n/a,New Funding/Resour...,$15.00m,-
3,Jul 2023,finres,finres,France,Latin America & C...,Financial services,n/a,New Funding/Resour...,$4.60m,-
4,Jul 2023,ProPhase Labs,ProPhase Labs,United States,Bahrain,Biotechnology,n/a,New Investment Stra...,-,-
5,Jul 2023,XS.com,XS.com,Seychelles,Middle East,Financial services,n/a,New Investment Stra...,-,-
6,Jul 2023,Chari.ma,Chari.ma,Morocco,Africa,Software & IT services,n/a,New Funding/Resour...,$1.50m,-
7,Jul 2023,Ajanta Pharma,Ajanta Pharma,India,Asia-Pacific,Pharmaceuticals,n/a,New Investment Stra...,-,-
8,Jul 2023,Nomu Group,Nomu Group,Saudi Arabia,Middle East,Food and Beverages,n/a,New Funding/Resour...,$5.00m,-
9,Jul 2023,Grupo Nutresa (G...,Grupo Nutresa (G...,Colombia,India,Food and Beverages,n/a,New Investment Stra...,-,-
10,Jul 2023,Air France-KLM G...,Air France-KLM G...,France,Africa,Aerospace,n/a,New Investment Stra...,-,-
11,Jun 2023,Cassa depositi e ...,Simest,Italy,Latin America & C...,Financial services,Business Services,Considering Project (...,-,-
12,Jun 2023,Undelucram.ro,Undelucram.ro,Romania,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$1.09m,-
13,Jun 2023,GGTech Entertain...,GGTech Entertain...,Spain,United States,Software & IT services,n/a,New Funding/Resour...,$12.40m,-
14,Jun 2023,Trans Asia Cellular,Trans Asia Cellular,Sri Lanka,Saudi Arabia,Consumer electronics,Retail,Considering Projec...,-,-
15,Jun 2023,Kubik,Kubik,Kenya,Ethiopia,Building materials,n/a,New Funding/Resour...,$3.34m,-
