ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Feb 2024,KoinKoin,KoinKoin,United Kingdom,Africa,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
2,Feb 2024,ProducePay,ProducePay,United States,Australia,Financial services,n/a,New Funding/Resour...,$38.00m,-
3,Feb 2024,Abu Dhabi Ports,Abu Dhabi Ports,UAE,Asia-Pacific,Transportation & War...,n/a,New Investment Stra...,-,-
4,Feb 2024,Incognia,Incognia,United States,North America,Software & IT services,n/a,New Funding/Resour...,$31.00m,-
5,Jan 2024,Roboost,Roboost,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$3.00m,-
6,Jan 2024,MoveInSync,MoveInSync,India,South Africa,Software & IT services,n/a,New Funding/Resour...,$15.00m,-
7,Jan 2024,Eugenie AI,Eugenie AI,United States,United States,Software & IT services,n/a,New Funding/Resour...,$4.40m,-
8,Jan 2024,Eptura,Eptura,United States,Asia-Pacific,Software & IT services,"Sales, Marketing & ...",New Investment Stra...,-,-
9,Jan 2024,DXwand,DXwand,Egypt,Saudi Arabia,Software & IT services,n/a,New Funding/Resour...,$4.00m,-
10,Jan 2024,Mindly,Mindly,Ukraine,United States,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
11,Jan 2024,European Plastics...,EuP Egypt Indust...,Vietnam,Egypt,Chemicals,n/a,New Investment Stra...,-,-
12,Jan 2024,Hyatt Hotels,Hyatt Hotels,United States,Spain,Hotels & tourism,Construction,Considering Project (...,-,-
13,Jan 2024,Zeal Rewards,Zeal Rewards,United Kingdom,Middle East,Software & IT services,n/a,New Funding/Resour...,$4.00m,-
14,Jan 2024,Janus Worldwide,Janus Worldwide,Germany,United Kingdom,Business services,n/a,New Investment Stra...,-,-
15,Jan 2024,Tumodo,Tumodo,UAE,India,Software & IT services,n/a,New Funding/Resour...,$35.00m,-
