ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2023,WorkPay,WorkPay,Kenya,Africa,Business services,n/a,New Funding/Resour...,$2.64m,-
2,Mar 2023,SigTuple Technolo...,SigTuple Technolo...,India,Asia-Pacific,Medical devices,n/a,New Funding/Resour...,$4.30m,-
3,Mar 2023,Tabby,Tabby,UAE,Middle East,Financial services,n/a,New Funding/Resour...,$58.00m,-
4,Mar 2023,In-Med Prognostics,In-Med Prognostics,India,Africa,Software & IT services,n/a,New Funding/Resour...,$2.13m,-
5,Mar 2023,Ozone API,Ozone API,United Kingdom,Middle East,Software & IT services,n/a,New Investment Stra...,-,-
6,Mar 2023,Amwal Tech,Amwal Tech,Saudi Arabia,Middle East,Software & IT services,n/a,New Funding/Resour...,$2.50m,-
7,Mar 2023,Wiz,Wiz,Israel,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$300.00m,-
8,Mar 2023,Hela Clothing,Hela Clothing,Sri Lanka,Africa,Textiles,n/a,New Funding/Resour...,$14.00m,-
9,Mar 2023,LoopMe,LoopMe,United Kingdom,Asia-Pacific,Software & IT services,n/a,New Investment Stra...,-,-
10,Mar 2023,Parcel (Parcel 24 ...,Parcel (Parcel 24 ...,Bahrain,Middle East,Transportation & War...,n/a,New Funding/Resour...,$1.00m,-
11,Mar 2023,Freshworks (Fres...,Freshworks (Fres...,United States,Japan,Software & IT services,n/a,New Personnel,-,-
12,Mar 2023,AeroFarms,AeroFarms,United States,Middle East,Food and Beverages,Manufacturing,Considering Project (...,-,-
13,Mar 2023,Bolt (Taxify),Bolt (Taxify),Estonia,Africa,Software & IT services,"Sales, Marketing & ...",Considering Projec...,-,$533.29m
14,Mar 2023,Lokal,Lokal,Pakistan,Asia-Pacific,Hotels & tourism,n/a,New Funding/Resour...,-,-
15,Mar 2023,4icg,Pursuit Marketing,United Kingdom,Asia-Pacific,Business services,n/a,New Investment Stra...,-,-
