ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jan 2011,Kubota,Kubota,Japan,Africa,Industrial equipme...,"Sales, Marketing ...",Considering Project (...,-,-
2,Jan 2011,JMJ Group,XXX Energy Drinks,India,Asia-Pacific,Food and Beverages,Manufacturing,Considering Projec...,-,-
3,Jan 2011,G&L Group,G&L Group,Argentina,El Salvador,Software & IT serv...,n/a,New Investment Stra...,-,-
4,Jan 2011,CIGA Healthcare,CIGA Healthcare,United Kingdom,Malaysia,Pharmaceuticals,n/a,New Investment Stra...,-,-
5,Jan 2011,ECS Group (Euro...,ECS Group (Euro...,France,Asia-Pacific,Transportation & ...,"Sales, Marketing ...",Considering Project (...,-,-
6,Jan 2011,Heineken,Heineken,Netherlands,Nigeria,Food and Beverages,Unspecified,New Investment Stra...,-,-
7,Jan 2011,Bally Technologies,Bally Technologies,United States,Africa,Leisure & entertai...,Unspecified,New Investment Stra...,-,-
8,Jan 2011,Sahaviriya Steel I...,Sahaviriya Steel I...,Thailand,Latin America & C...,"Coal, oil & gas",Manufacturing,Considering Projec...,-,-
9,Jan 2011,General Motors (...,Opel,United States,Latin America & C...,Automotive OEM,Unspecified,New Investment Stra...,-,-
10,Jan 2011,Vinci,Entrepose Contra...,France,Tunisia,Unspecified,Manufacturing,New Overseas Suppli...,-,-
11,Jan 2011,Heenan Blaikie,Heenan Blaikie,Canada,Africa,Business services,Business Services,Considering Project (...,-,-
12,Jan 2011,Volkswagen,Volkswagen,Germany,Algeria,Automotive compo...,n/a,Considering Project (...,-,-
13,Jan 2011,Nu Tek India,Nu Tek India,India,Middle East,Communications,Unspecified,New Funding/Reso...,-,-
14,Jan 2011,Elsewedy Electric...,Elsewedy Electric...,Egypt,Zambia,"Coal, oil & gas",Unspecified,New Investment Stra...,-,$65.00m
15,Jan 2011,The Foundation f...,Munhwa Broadca...,South Korea,Latin America & C...,Communications,"Sales, Marketing ...",Considering Project (...,-,-
