ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Aug 2012,Jaina Group,Karbonn Mobiles,India,Asia-Pacific,Communications,Unspecified,New Investment Stra...,-,-
2,Aug 2012,Dubai Holding,Jumeirah Interna...,UAE,Asia-Pacific,Food and Beverages,Unspecified,New Investment Stra...,-,-
3,Aug 2012,CloudFlare,CloudFlare,United States,Latin America & C...,Communications,ICT & Internet Inf...,Considering Project (...,-,-
4,Aug 2012,Viettel,Viettel,Vietnam,Cuba,Communications,Unspecified,New Investment Stra...,-,-
5,Aug 2012,Agco,Agco,United States,Africa,Industrial equipme...,Education & Traini...,Considering Project (...,-,-
6,Aug 2012,Tawazun Holding,NIMR Automotive,UAE,Africa,Space & defence,Unspecified,New Investment Stra...,-,-
7,Aug 2012,Kaspersky Lab,Kaspersky Lab,Russia,Africa,Software & IT serv...,"Sales, Marketing ...",Considering Project (...,-,-
8,Aug 2012,Commercial Bank...,Commercial Bank...,Kenya,Africa,Financial services,Unspecified,New Investment Stra...,-,-
9,Aug 2012,Angel Telecom,Angel Telecom,Switzerland,Middle East,Communications,Unspecified,New Funding/Resour...,-,-
10,Aug 2012,Webber Wentzel,Webber Wentzel,South Africa,Africa,Business services,Business Services,Considering Project (...,-,-
11,Aug 2012,Linklaters,Linklaters,United Kingdom,Africa,Business services,Business Services,Considering Project (...,-,-
12,Aug 2012,Kirusa,Kirusa,United States,Latin America & C...,Software & IT serv...,Unspecified,New Investment Stra...,-,-
13,Aug 2012,Prudential,Prudential,United Kingdom,Asia-Pacific,Financial services,Unspecified,New Investment Stra...,-,-
14,Aug 2012,Studio Seilern Ar...,Studio Seilern Ar...,United Kingdom,Africa,Business services,Business Services,Considering Project (...,-,-
15,Aug 2012,Corpus,Corpus Software,United States,Latin America & C...,Software & IT serv...,Unspecified,New Funding/Reso...,-,-
