ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jan 2020,InterSwitch,InterSwitch,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
2,Jan 2020,Energias de Portu...,EDP Renewables ...,Portugal,Nigeria,Renewable energy,Electricity,New Investment Stra...,$3.00m,-
3,Jan 2020,QingCloud,QingCloud,China,India,Communications,n/a,New Investment Stra...,-,-
4,Dec 2019,Toyota Motor,Toyota Tsusho,Japan,Egypt,Automotive OEM,Manufacturing,New Investment Stra...,-,-
5,Dec 2019,Dr. Agarwals Heal...,Dr. Agarwals Heal...,India,Asia-Pacific,Healthcare,n/a,New Funding/Resour...,-,-
6,Dec 2019,DentaCarts,DentaCarts,Egypt,Kenya,Software & IT services,n/a,New Funding/Resour...,-,-
7,Dec 2019,Patrick Parsons,Patrick Parsons,United Kingdom,Africa,Business services,n/a,New Investment Stra...,-,-
8,Dec 2019,Koosmik,Koosmik,Luxembourg,Togo,Financial services,n/a,New Funding/Resour...,-,$2.00m
9,Dec 2019,PayLock,PayLock,Ghana,Nigeria,Software & IT services,n/a,Considering Project (...,-,-
10,Dec 2019,Chipper Cash,Chipper Cash,United States,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
11,Dec 2019,PlayerMaker,PlayerMaker,United Kingdom,Latin America & C...,Consumer electronics,n/a,New Funding/Resour...,$10.00m,-
12,Dec 2019,2Engage,2Engage,South Africa,Namibia,Software & IT services,n/a,New Funding/Resour...,-,-
13,Dec 2019,Silicon 21,Silicon 21,Egypt,Libya,Business machines &...,n/a,New Investment Stra...,-,-
14,Dec 2019,Ozy Media,Ozy Media,United States,Middle East,Software & IT services,"Sales, Marketing & ...",Considering Project (...,-,-
15,Dec 2019,GotBot,GotBot,South Africa,Africa,Software & IT services,n/a,New Funding/Resour...,$0.17m,-
