ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Apr 2020,Cofe App,Cofe App,Kuwait,Turkey,Software & IT services,n/a,New Investment Stra...,-,-
2,Apr 2020,MPower Ventures,MPower Ventures,Switzerland,Zambia,Electronic components,n/a,New Funding/Resour...,$0.43m,-
3,Apr 2020,Kwik Delivery,Kwik Delivery,Nigeria,Africa,Transportation & War...,n/a,New Funding/Resour...,-,-
4,Apr 2020,Cato Networks,Cato Networks,Israel,Middle East,Communications,n/a,New Funding/Resour...,$77.00m,-
5,Apr 2020,Payment24,Payment24,South Africa,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
6,Apr 2020,Gravitricity,Gravitricity,United Kingdom,South Africa,Industrial equipment,n/a,New Funding/Resour...,$0.37m,-
7,Apr 2020,Mobiz,Mobiz,South Africa,Africa,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
8,Apr 2020,Kasha,Kasha,Kenya,Africa,Consumer products,n/a,New Funding/Resour...,$1.00m,-
9,Mar 2020,Pinsent Masons,Pinsent Masons,United Kingdom,France,Business services,n/a,New Personnel,-,-
10,Mar 2020,Ayazona,Ayazona,Kenya,Ghana,Food and Beverages,n/a,New Funding/Resour...,-,-
11,Mar 2020,Coliba,Coliba,Côte d Ivoire,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
12,Mar 2020,BIO-key Internati...,BIO-key Internati...,United States,Africa,Business machines...,n/a,New Investment Stra...,-,-
13,Mar 2020,Almarai,Beyti,Saudi Arabia,China,Food and Beverages,n/a,New Investment Stra...,-,-
14,Mar 2020,Youverify,Youverify,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$1.50m,-
15,Mar 2020,SNOWPLUS,SNOWPLUS,China,Asia-Pacific,Consumer electronics,n/a,New Funding/Resour...,$125.00m,-
