ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2010,e& (Etisalat Group),e& (Etisalat Group),UAE,Asia-Pacific,Communications,n/a,New Investment Stra...,-,-
2,Jul 2010,Orange (France T...,Orange S.A.,France,Middle East,Communications,n/a,New Investment Stra...,-,$8.96m
3,Jul 2010,Vodafone Group,Vodafone Group,United Kingdom,Asia-Pacific,Communications,n/a,New Investment Stra...,-,-
4,Jul 2010,Deutsche Post,DHL Global Forwa...,Germany,Africa,Transportation & War...,n/a,New Investment Stra...,-,-
5,Jul 2010,SThree,SThree,United Kingdom,Latin America & C...,Business services,Business Services,Considering Project (...,-,-
6,Jul 2010,Commtel Networks,Commtel Networks,India,Middle East,Communications,n/a,New Funding/Reso...,-,-
7,Jul 2010,Pluspetrol,Pluspetrol,Argentina,Angola,"Coal, oil & gas","Sales, Marketing & ...",Considering Project (...,-,-
8,Jul 2010,Techint,Tenaris,Italy,Angola,Industrial equipment,"Sales, Marketing & ...",Considering Project (...,-,-
9,Jul 2010,Boeing,Boeing,United States,Norway,Aerospace,n/a,New Overseas Suppli...,-,-
10,Jul 2010,Kansai Paint,Kansai Paint,Japan,Morocco,Chemicals,Manufacturing,Considering Project (...,-,-
11,Jul 2010,Hanjin Group,Hanjin Shipping,South Korea,Latin America & C...,Transportation & War...,n/a,New Investment Stra...,-,-
12,Jul 2010,Aston Martin,Aston Martin,United Kingdom,Middle East,Automotive OEM,n/a,New Personnel,-,-
13,Jul 2010,HD Hyundai (Hyu...,HD Hyundai (Hyu...,South Korea,Latin America & C...,Industrial equipment,n/a,New Investment Stra...,-,-
14,Jul 2010,Central Bank of I...,Central Bank of I...,India,Africa,Financial services,Business Services,Considering Project (...,-,-
15,Jul 2010,Indian Oil Corpor...,Indian Oil Corpor...,India,Africa,"Coal, oil & gas",Manufacturing,Considering Project (...,-,$3.50bn
