ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2012,Cacofil Group,Cacofil Group,Angola,Asia-Pacific,Transportation & ...,Unspecified,New Investment Stra...,-,-
2,Mar 2012,POSCO (Pohang I...,POSCO (Pohang I...,South Korea,Africa,Business services,Construction,Considering Projec...,-,-
3,Mar 2012,ABB (Asea Brown...,ABB (Asea Brown...,Switzerland,Africa,Automotive compo...,Unspecified,New Investment Stra...,-,-
4,Mar 2012,Hitachi,Shoden Data Sys...,Japan,Africa,Communications,Unspecified,New Investment Stra...,-,-
5,Mar 2012,Standard Bank G...,Standard Bank G...,South Africa,Africa,Financial services,Unspecified,New Investment Stra...,-,-
6,Mar 2012,Eros Group (Eros ...,Eros Group (Eros ...,UAE,Middle East,Communications,Retail,Considering Projec...,-,-
7,Feb 2012,FirstRand,First National Ban...,South Africa,Lesotho,Financial services,Unspecified,New Investment Stra...,-,-
8,Feb 2012,SMA Solar Techn...,SMA Solar Techn...,Germany,Latin America & C...,Electronic compon...,"Sales, Marketing ...",Considering Project (...,-,-
9,Feb 2012,ThoughtWorks,ThoughtWorks,United States,India,Software & IT serv...,Unspecified,New Investment Stra...,-,-
10,Feb 2012,Olam International,Olam International,Singapore,Africa,Food and Beverages,Manufacturing,Considering Project (...,-,-
11,Feb 2012,Caverton Offshor...,Caverton Helicopt...,Nigeria,Chad,"Coal, oil & gas",Unspecified,New Overseas Suppli...,-,-
12,Feb 2012,Truworths,Truworths,South Africa,Africa,Textiles,Retail,Considering Projec...,-,-
13,Feb 2012,Titan International,Titan Mining Serv...,United States,Latin America & C...,Rubber,Unspecified,New Investment Stra...,-,-
14,Feb 2012,Heineken,Heineken,Netherlands,Latin America & C...,Food and Beverages,Unspecified,New Investment Stra...,-,-
15,Feb 2012,Essar Group,Aegis Limited,India,Latin America & C...,Business services,Unspecified,New Funding/Reso...,-,-
