ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Feb 2026,VDL Technologies,VDL Technologies,Nigeria,Africa,Software & IT services,n/a,Considering Project (...,-,-
2,Feb 2026,Delo Group,Delo Group,Russia,Nigeria,Transportation & War...,"Logistics, Distributio...",Considering Project (...,-,-
3,Jan 2026,Vention,Vention,Canada,Middle East,Industrial equipment,n/a,New Funding/Resour...,$110.00m,-
4,Jan 2026,Mycophyto,Mycophyto,France,Netherlands,Biotechnology,n/a,New Funding/Resour...,$19.15m,-
5,Jan 2026,Fimple,Fimple,United Kingdom,Bahrain,Software & IT services,n/a,New Funding/Resour...,$10.00m,-
6,Jan 2026,Woliz,Woliz,Morocco,Africa,Software & IT services,n/a,New Funding/Resour...,$2.20m,-
7,Jan 2026,SpotDraft,SpotDraft,India,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$8.00m,-
8,Jan 2026,Metro Africa Xpre...,Metro Africa Xpre...,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$24.00m,-
9,Jan 2026,DataRails,DataRails,Israel,North America,Software & IT services,n/a,New Funding/Resour...,$70.00m,-
10,Jan 2026,10ZiG,10ZiG,United States,Middle East,Business machines &...,n/a,New Investment Stra...,-,-
11,Jan 2026,Just Play,Just Play,United States,Poland,Consumer products,n/a,New Investment Stra...,-,-
12,Jan 2026,Dataroid,Dataroid,Turkey,Middle East,Software & IT services,n/a,New Funding/Resour...,$6.60m,-
13,Jan 2026,Hydrosat,Hydrosat,United States,Latin America & C...,Business services,n/a,New Funding/Resour...,-,$60.00m
14,Jan 2026,American Interna...,American Interna...,United States,Middle East,Financial services,n/a,New Personnel,-,-
15,Jan 2026,Essar Group,Black Box,India,Australia,Communications,n/a,New Investment Stra...,-,-
