ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Feb 2018,Mondo Ride,Mondo Ride,Kenya,Africa,Business services,n/a,New Funding/Resour...,-,-
2,Feb 2018,Deepstream,Deepstream,United Kingdom,Mexico,Software & IT services,n/a,New Funding/Resour...,-,-
3,Feb 2018,Volkswagen,Volkswagen,Germany,Egypt,Automotive OEM,"Logistics, Distribu...",Considering Project (...,-,-
4,Feb 2018,wiGroup,wiGroup,South Africa,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,-,-
5,Feb 2018,Redcliffe Hygiene,Redcliffe Hygiene,India,United States,Consumer products,n/a,New Funding/Resour...,-,$1.00m
6,Jan 2018,Veolia Environne...,Veolia Environne...,France,Turkey,Business services,Manufacturing,Considering Projec...,-,$200.00m
7,Jan 2018,Goodlife,Goodlife,Kenya,Africa,Pharmaceuticals,Retail,New Investment Stra...,-,-
8,Jan 2018,Hospitality Lodgi...,Hospitality Lodgi...,United States,Russia,Hotels & tourism,n/a,New Investment Stra...,-,-
9,Jan 2018,JPMorgan Chase ...,JPMorgan Chase ...,United States,Kenya,Financial services,n/a,New Investment Stra...,-,-
10,Jan 2018,TabAds,TabAds,Kenya,Africa,Business services,n/a,New Funding/Resour...,-,-
11,Jan 2018,Blacklane,Blacklane,Germany,Middle East,Transportation & War...,n/a,New Funding/Reso...,-,-
12,Jan 2018,Cumulus Networks,Cumulus Networks,United States,Asia-Pacific,Communications,n/a,New Funding/Resour...,-,-
13,Jan 2018,Edita Food Indust...,Edita Food Indust...,Egypt,Asia-Pacific,Food and Beverages,n/a,New Investment Stra...,-,-
14,Jan 2018,Azuri Technologies,Azuri Technologies,United Kingdom,Africa,Renewable energy,n/a,New Funding/Resour...,-,-
15,Jan 2018,Monitane Holdings,Hela Clothing,United Kingdom,Africa,Textiles,n/a,New Investment Stra...,-,-
