ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Aug 2014,Etihad Airways,Hala Travel,UAE,Middle East,Hotels & tourism,n/a,New Investment Stra...,-,-
2,Jul 2014,Turner & Townsend,Turner & Townsend,United Kingdom,Africa,Real estate,n/a,New Investment Stra...,-,-
3,Jul 2014,Grupo Eurofinsa,Grupo Eurofinsa,Spain,Tunisia,Real estate,Construction,Considering Project (...,-,$534.00m
4,Jul 2014,Kirloskar Brother...,Kirloskar Brother...,India,Tunisia,Industrial equipme...,Unspecified,Considering Project (...,-,-
5,Jul 2014,Alcatel-Lucent,Nokia Bell Labs (...,France,Latin America & C...,Communications,Research & Devel...,Considering Project (...,-,-
6,Jul 2014,Union Industries ...,Union Industries ...,Italy,Africa,Textiles,Manufacturing,Considering Project (...,-,-
7,Jul 2014,Helios Towers,Helios Towers,United Kingdom,Africa,Communications,Unspecified,New Funding/Resour...,-,$630.00m
8,Jul 2014,Nestle,Nestle,Switzerland,Asia-Pacific,Food and Beverages,Manufacturing,Considering Project (...,-,-
9,Jul 2014,RackWare,RackWare,United States,Middle East,Software & IT serv...,n/a,New Funding/Resour...,-,-
10,Jul 2014,NewVoiceMedia,NewVoiceMedia,United Kingdom,Asia-Pacific,Communications,n/a,New Funding/Resour...,-,-
11,Jul 2014,Marin Hili Holdings,Mariner,Malta,Africa,Transportation & ...,Unspecified,Considering Project (...,-,-
12,Jul 2014,Sonae,MDS,Portugal,Africa,Financial services,n/a,New Investment Stra...,-,-
13,Jul 2014,Microsoft,Microsoft,United States,Africa,Software & IT serv...,n/a,New Personnel,-,-
14,Jun 2014,Fine Fair Group,Fine Fair Group,UAE,Middle East,Textiles,Retail,Considering Project (...,-,-
15,Jun 2014,Egypt Gas,Egypt Gas,Egypt,Middle East,"Coal, oil & gas",n/a,New Investment Stra...,-,-
