ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Sep 2022,Docquity,Docquity,Singapore,Japan,Software & IT services,n/a,New Funding/Resour...,$44.00m,-
2,Sep 2022,Omnicom Group,Fuse Agency,United States,Asia-Pacific,Business services,n/a,New Investment Stra...,-,-
3,Sep 2022,Alloy,Alloy,United States,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$52.00m,-
4,Sep 2022,Banco Nacional d...,Banco Nacional d...,Equatorial Guinea,Africa,Financial services,n/a,New Investment Stra...,-,-
5,Sep 2022,Robocash Group,Robocash Group,Latvia,Latin America & C...,Software & IT services,n/a,New Investment Stra...,-,-
6,Aug 2022,D.light Design,D.light Design,United States,Africa,Electronic components,n/a,New Funding/Resour...,$50.00m,-
7,Aug 2022,MedGenome,MedGenome,United States,Asia-Pacific,Biotechnology,n/a,New Funding/Resour...,$50.00m,-
8,Aug 2022,karmSolar,karmSolar,Egypt,Middle East,Renewable energy,n/a,New Funding/Resour...,-,-
9,Aug 2022,Grey Finance,Grey Finance,United States,Africa,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
10,Aug 2022,Stake (Get Stake),Stake (Get Stake),UAE,Saudi Arabia,Financial services,n/a,New Funding/Resour...,$8.00m,-
11,Aug 2022,Globeleq Generat...,Globeleq Generat...,United Kingdom,Egypt,Renewable energy,Electricity,Considering Project (...,-,-
12,Aug 2022,SubsBase,SubsBase,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$2.40m,-
13,Aug 2022,Emsteel (Emirate...,Emsteel (Emirate...,UAE,Asia-Pacific,Metals,n/a,New Investment Stra...,-,-
14,Aug 2022,Vive Crop Protect...,Vive Crop Protect...,Canada,United States,Chemicals,n/a,New Funding/Resour...,$26.25m,-
15,Aug 2022,FreedomPay,FreedomPay,United States,China,Software & IT services,"Sales, Marketing & ...",Considering Project (...,-,-
