ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Sep 2011,Maxx Mobile,Maxx Mobile,India,Asia-Pacific,Communications,n/a,New Investment Stra...,-,-
2,Sep 2011,Interactive Intelli...,Interactive Intelli...,United States,Africa,Communications,n/a,New Investment Stra...,-,-
3,Sep 2011,Continental Insur...,Continental Insur...,UAE,Kenya,Financial services,Unspecified,New Investment Stra...,-,-
4,Sep 2011,TotalEnergies (To...,TotalEnergies (To...,France,Libya,"Coal, oil & gas",n/a,New Investment Stra...,-,-
5,Sep 2011,FirstRand,First National Ban...,South Africa,Ghana,Financial services,n/a,New Investment Stra...,-,-
6,Sep 2011,Sinohydro,Sinohydro,China,Latin America & C...,Renewable energy,Electricity,Considering Projec...,-,-
7,Sep 2011,Conservas Garavi...,Conservas Garavi...,Spain,Latin America & C...,Food and Beverages,Unspecified,New Investment Stra...,-,-
8,Sep 2011,Powerstax,Powerstax,United Kingdom,Middle East,Industrial equipme...,Unspecified,New Personnel,-,-
9,Sep 2011,Centrais Eletricas...,Centrais Eletricas...,Brazil,Latin America & C...,Renewable energy,Unspecified,New Investment Stra...,-,$5.40bn
10,Sep 2011,NTPC Limited (Na...,NTPC Limited (Na...,India,South Africa,"Coal, oil & gas",Electricity,Considering Project (...,-,-
11,Sep 2011,Genetwister Tech...,Genetwister Africa,Netherlands,Africa,Biotechnology,Unspecified,New Investment Stra...,-,-
12,Sep 2011,Dentistree,Dentistree,India,Middle East,Healthcare,n/a,New Investment Stra...,-,-
13,Sep 2011,IRB-Brasil Resseg...,IRB-Brasil Resseg...,Brazil,Latin America & C...,Financial services,n/a,New Investment Stra...,-,-
14,Sep 2011,Reliance ADA,Reliance Securities,India,Asia-Pacific,Financial services,n/a,New Investment Stra...,-,-
15,Sep 2011,British Broadcasti...,BBC Worldwide,United Kingdom,Latin America & C...,Communications,Unspecified,New Investment S...,-,-
