ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Nov 2011,Rapid7,Rapid7,United States,Asia-Pacific,Software & IT serv...,Unspecified,New Funding/Resour...,-,-
2,Nov 2011,Nampak,Nampak,South Africa,Africa,Ceramics & glass,Manufacturing,Considering Project (...,-,-
3,Nov 2011,Chongqing Lifan I...,Chongqing Lifan I...,China,Latin America & C...,Automotive OEM,"Logistics, Distribu...",Considering Projec...,-,-
4,Nov 2011,Misonix,Misonix,United States,India,Medical devices,Unspecified,New Investment Stra...,-,-
5,Nov 2011,Serpent Medical ...,Serpent Medical ...,United Kingdom,South Sudan,Business services,Unspecified,New Overseas Suppli...,-,-
6,Nov 2011,Mubadala Develo...,Mubadala Develo...,UAE,Guinea,Metals,Unspecified,New Investment Stra...,-,-
7,Nov 2011,Kuwait Projects (...,Orbit Showtime N...,Kuwait,Tunisia,Leisure & entertai...,Unspecified,New Investment Stra...,-,-
8,Nov 2011,Global Index Inte...,Global Index Inte...,Brazil,Nigeria,Financial services,Unspecified,New Investment Stra...,-,-
9,Nov 2011,Fico (Fair Isaac),Fico (Fair Isaac),United States,Africa,Software & IT serv...,Unspecified,New Investment Stra...,-,-
10,Nov 2011,Power Grid Corpo...,Power Grid Corpo...,India,Latin America & C...,Business services,Unspecified,New Investment Stra...,-,-
11,Nov 2011,Shell PLC (Royal ...,Shell PLC (Royal ...,Netherlands,Asia-Pacific,"Coal, oil & gas",n/a,New Investment Stra...,-,-
12,Nov 2011,Toyota Motor,Toyota Tsusho,Japan,Kenya,Renewable energy,Construction,New Overseas Suppli...,-,-
13,Nov 2011,EirGen Pharma,EirGen Pharma,Ireland,South Africa,Pharmaceuticals,Unspecified,New Overseas Suppli...,-,-
14,Nov 2011,JMR Infotech (Tra...,JMR Infotech (Tra...,Italy,Africa,Software & IT serv...,"Sales, Marketing ...",Considering Project (...,-,-
15,Nov 2011,Kudremukh Iron ...,Kudremukh Iron ...,India,Mozambique,Metals,Extraction,Considering Project (...,-,-
