ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Nov 2023,Stripe,Paystack,United States,Egypt,Software & IT services,n/a,New Investment Stra...,-,-
2,Nov 2023,RecycleKaro,RecycleKaro,India,United States,Electronic compon...,Recycling,Considering Projec...,-,-
3,Nov 2023,Vendelux,Vendelux,United States,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$14.00m,-
4,Nov 2023,GlobeVisa Group,GlobeVisa Group,Singapore,Asia-Pacific,Business services,Business Services,Considering Project (...,-,-
5,Nov 2023,CSquared,CSquared,Kenya,Ghana,Communications,n/a,New Funding/Resour...,$25.00m,-
6,Nov 2023,Lapaire,Lapaire,Côte d Ivoire,Nigeria,Consumer products,Retail,Considering Projec...,-,-
7,Nov 2023,OKX (OKEx Techn...,OKX (OKEx Techn...,Hong Kong,UAE,Software & IT services,n/a,New Investment Stra...,-,-
8,Nov 2023,Pyse,Pyse,India,Bahrain,Financial services,n/a,New Investment Stra...,-,-
9,Nov 2023,Adani Group,Adani Ports and S...,India,Vietnam,Transportation & War...,n/a,New Investment Stra...,-,-
10,Nov 2023,Hypetoon,Hypetoon,South Korea,Indonesia,Software & IT services,n/a,New Funding/Resour...,-,-
11,Nov 2023,Voyage Freight,Voyage Freight,Pakistan,Middle East,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
12,Nov 2023,Saudi Aramco,Saudi Aramco,Saudi Arabia,Nigeria,"Coal, oil & gas",n/a,New Investment Stra...,-,-
13,Nov 2023,Almouneer,Almouneer,Egypt,Nigeria,Software & IT services,n/a,New Funding/Resour...,$3.60m,-
14,Nov 2023,Raxio Group,Raxio Group,United States,Angola,Communications,ICT & Internet Infra...,Considering Projec...,$46.00m,-
15,Nov 2023,ACTOM,ACTOM,South Africa,Africa,Electronic compon...,Manufacturing,Considering Project (...,-,-
