ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2012,Publicis Groupe,Bartle Bogle Heg...,France,Middle East,Business services,Business Services,Considering Project (...,-,-
2,Jul 2012,Plexus,Plexus,Spain,Ecuador,Software & IT serv...,Unspecified,New Investment Stra...,-,-
3,Jul 2012,Mu Sigma,Mu Sigma,United States,Latin America & C...,Business services,Unspecified,New Investment Stra...,-,-
4,Jun 2012,Mulk Holdings,Mulk Holdings,UAE,Nigeria,Healthcare,Manufacturing,Considering Projec...,-,-
5,Jun 2012,Manipal Educatio...,Manipal Global E...,India,Asia-Pacific,Business services,Unspecified,New Funding/Resour...,-,$55.00m
6,Jun 2012,Investors Trust A...,Investors Trust A...,Cayman Islands,Middle East,Financial services,Unspecified,New Investment Stra...,-,-
7,Jun 2012,SES,SES,Luxembourg,Africa,Communications,"Sales, Marketing ...",Considering Project (...,-,-
8,Jun 2012,StratLink,StratLink,United States,Africa,Business services,Business Services,Considering Project (...,-,-
9,Jun 2012,Sirane,Sirane,United Kingdom,Australia,Plastics,Manufacturing,Considering Projec...,-,-
10,Jun 2012,Coffee Day Holdi...,Amalgamated Be...,India,Asia-Pacific,Food and Beverages,Retail,Considering Project (...,-,-
11,Jun 2012,Alam Steel Indus...,Alam Steel Indus...,UAE,Nigeria,Metals,Unspecified,New Investment Stra...,-,-
12,Jun 2012,Regal Group,Regal Group,UAE,Nigeria,Communications,Unspecified,New Investment Stra...,-,-
13,Jun 2012,Darvesh,Darvesh,UAE,Nigeria,Building materials,Unspecified,New Investment Stra...,-,-
14,Jun 2012,Khaitan Holdings,Khaitan Holdings,UAE,Nigeria,Metals,Unspecified,New Investment Stra...,-,-
15,Jun 2012,Seven Seas Servi...,Seven Seas Servi...,UAE,Nigeria,Transportation & ...,Unspecified,New Investment Stra...,-,-
