ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Feb 2022,Finverity,Finverity,United Kingdom,Middle East,Software & IT services,"Sales, Marketing & ...",Considering Projec...,$2.00m,-
2,Feb 2022,Afya Rekod,Afya Rekod,Kenya,Africa,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
3,Feb 2022,Moove Africa,Moove Africa,Netherlands,Africa,Software & IT services,n/a,New Funding/Resour...,$10.00m,-
4,Feb 2022,ezWIFI,ezWIFI,Pakistan,Bahrain,Communications,n/a,New Funding/Resour...,-,-
5,Feb 2022,Amitruck,Amitruck,Kenya,Uganda,Software & IT services,n/a,New Funding/Resour...,$4.00m,-
6,Feb 2022,Victory Farms,Victory Farms,Kenya,Africa,Food and Beverages,n/a,New Funding/Resour...,-,-
7,Feb 2022,Brimore,Brimore,Egypt,Africa,Software & IT services,n/a,New Funding/Resour...,$25.00m,-
8,Feb 2022,Yalla Fel Sekka (Y...,Yalla Fel Sekka (Y...,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$7.00m,-
9,Jan 2022,The Sun Exchange,The Sun Exchange,South Africa,Africa,Renewable energy,n/a,New Investment Stra...,-,-
10,Jan 2022,NALA,NALA,Tanzania,United States,Software & IT services,n/a,New Funding/Resour...,$10.00m,-
11,Jan 2022,FourthRev,FourthRev,United Kingdom,Australia,Software & IT services,n/a,New Funding/Resour...,$8.00m,-
12,Jan 2022,World Bazaar India,World Bazaar India,India,Middle East,Consumer products,n/a,New Investment Stra...,-,-
13,Jan 2022,NirogStreet,NirogStreet,India,Middle East,Software & IT services,n/a,New Funding/Resour...,$4.00m,-
14,Jan 2022,PQShield,PQShield,United Kingdom,United States,Software & IT services,n/a,New Funding/Resour...,$20.00m,-
15,Jan 2022,Jumia,Jumia,Nigeria,Africa,Consumer products,n/a,New Investment Stra...,-,-
