ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jun 2022,GoMyCode,GoMyCode,Tunisia,Middle East,Business services,n/a,New Funding/Resour...,$8.00m,-
2,Jun 2022,Swoop Aero,Swoop Aero,Australia,Asia-Pacific,Transportation & War...,n/a,New Funding/Resour...,$16.00m,-
3,Jun 2022,Schonfeld Group,Schonfeld Strate...,United States,Middle East,Financial services,Business Services,New Personnel,-,-
4,Jun 2022,HyperPay,HyperPay,Saudi Arabia,Qatar,Software & IT services,n/a,New Funding/Resour...,$36.70m,-
5,Jun 2022,ShopEX,ShopEX,Nigeria,Ghana,Communications,n/a,New Funding/Resour...,$0.64m,-
6,Jun 2022,Ayoken,Ayoken,United Kingdom,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$1.40m,-
7,Jun 2022,Scan Global Logis...,Scan Global Logis...,Denmark,Middle East,Transportation & War...,n/a,New Investment Stra...,-,-
8,Jun 2022,Odilo,Odilo,Spain,North America,Software & IT services,n/a,New Funding/Resour...,$64.00m,-
9,Jun 2022,FoondaMate,FoondaMate,South Africa,India,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
10,Jun 2022,Gamiphy,Gamiphy,United States,United States,Software & IT services,n/a,New Funding/Resour...,$1.50m,-
11,Jun 2022,Chariot Oil & Gas,Chariot Oil & Gas,United Kingdom,Africa,"Coal, oil & gas",n/a,New Funding/Resour...,$25.50m,-
12,Jun 2022,Coralogix,Coralogix,United States,United Kingdom,Software & IT services,n/a,New Funding/Resour...,$142.00m,-
13,Jun 2022,Indicina,Indicina,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$3.00m,-
14,Jun 2022,Cuemath,Cuemath,India,United Kingdom,Business services,n/a,New Funding/Resour...,$57.00m,-
15,Jun 2022,Stashaway,Stashaway,Singapore,Middle East,Financial services,n/a,New Investment Stra...,-,-
