ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2015,Etix (Etix Everyw...,Etix (Etix Everyw...,Luxembourg,North America,Communications,ICT & Internet Inf...,Considering Projec...,-,$16.33m
2,Jul 2015,Sohan Lal Comm...,Sohan Lal Comm...,India,Asia-Pacific,Transportation & ...,n/a,New Investment Stra...,-,-
3,Jul 2015,OQ (Oman Oil Co...,Oman Trading Int...,Oman,Africa,"Coal, oil & gas","Logistics, Distribu...",Considering Projec...,-,-
4,Jul 2015,Guided Therapeu...,Guided Therapeu...,United States,Kenya,Medical devices,n/a,New Overseas Suppli...,-,-
5,Jul 2015,African Developm...,African Developm...,Côte d Ivoire,Africa,Financial services,Business Services,Considering Project (...,-,-
6,Jul 2015,Main One Cable C...,Main One Cable C...,Mauritius,Africa,Communications,ICT & Internet Inf...,Considering Project (...,-,$300.00m
7,Jun 2015,Deutsche Post,DHL Express,Germany,Nigeria,Transportation & ...,n/a,New Investment Stra...,-,-
8,Jun 2015,Andela,Andela,United States,Africa,Business services,n/a,New Funding/Resour...,-,-
9,Jun 2015,EFG Hermes Hold...,Credit Libanais,Egypt,Ghana,Business services,n/a,New Investment Stra...,-,-
10,Jun 2015,Sogaz Insurance ...,Sogaz Insurance ...,Russia,India,Financial services,"Sales, Marketing ...",Considering Project (...,-,-
11,Jun 2015,Senaat General H...,Emirates Foodstu...,UAE,Turkey,Business services,Unspecified,New Investment Stra...,-,$54.45m
12,Jun 2015,CricHQ,CricHQ,New Zealand,Asia-Pacific,Software & IT serv...,n/a,New Funding/Resour...,-,-
13,Jun 2015,RSK,RSK,United Kingdom,Asia-Pacific,Business services,n/a,New Funding/Resour...,-,-
14,Jun 2015,Dallah Al-Baraka ...,Albaraka Banking...,Saudi Arabia,Africa,Financial services,n/a,New Investment Stra...,-,-
15,Jun 2015,Dawnus Holdings,Dawnus Internati...,United Kingdom,Liberia,Business services,Unspecified,New Overseas Suppli...,-,-
