ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2022,AHOY,AHOY,UAE,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$20.00m,-
2,Mar 2022,Wattnow,Wattnow,Tunisia,Middle East,Software & IT services,n/a,New Funding/Resour...,$1.30m,-
3,Mar 2022,Moove Africa,Moove Africa,Netherlands,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$105.00m,-
4,Mar 2022,PAIX Data Centres,PAIX Data Centres,Netherlands,Africa,Communications,ICT & Internet Infra...,New Investment Stra...,$20.00m,-
5,Mar 2022,H2-Industries (H...,H2-Industries (H...,United States,UAE,Renewable energy,Manufacturing,New Investment Stra...,-,-
6,Mar 2022,Rocket Health,Rocket Health,Uganda,Africa,Software & IT services,n/a,New Funding/Resour...,$5.00m,-
7,Mar 2022,Dash App,Dash App,United States,Africa,Software & IT services,n/a,New Funding/Resour...,$32.80m,-
8,Mar 2022,Tabby,Tabby,UAE,Egypt,Financial services,n/a,New Funding/Resour...,$54.00m,-
9,Mar 2022,VALR,VALR,South Africa,India,Financial services,n/a,New Funding/Resour...,$50.00m,-
10,Mar 2022,Alpha Dhabi Holdi...,Alpha Dhabi Holdi...,UAE,Saudi Arabia,Healthcare,n/a,New Investment Stra...,-,-
11,Mar 2022,J&T Express,J&T Express,Indonesia,Middle East,Transportation & War...,"Logistics, Distributio...",Considering Project (...,-,-
12,Mar 2022,FreshSource,FreshSource,Egypt,Africa,Food and Beverages,n/a,New Funding/Reso...,-,-
13,Mar 2022,Cheq AI Technolo...,Cheq AI Technolo...,Israel,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$150.00m,-
14,Mar 2022,Sistema.bio,Sistema.bio,Mexico,Latin America & C...,Chemicals,n/a,New Funding/Resour...,$15.60m,-
15,Mar 2022,Nuvei,Nuvei,Canada,Asia-Pacific,Financial services,n/a,New Investment Stra...,-,-
