ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Apr 2022,Swvl,Swvl,UAE,United States,Software & IT services,n/a,New Investment Stra...,-,-
2,Apr 2022,OPay,OPay,Nigeria,Middle East,Financial services,n/a,New Investment Stra...,-,-
3,Apr 2022,Zenda,Zenda,UAE,India,Software & IT services,n/a,New Funding/Resour...,$9.50m,-
4,Apr 2022,Shift EV,Shift EV,Egypt,Middle East,Automotive OEM,n/a,New Funding/Resour...,-,-
5,Apr 2022,Laiye,Laiye,China,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$70.00m,-
6,Apr 2022,Syarpa,Syarpa,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$0.50m,-
7,Apr 2022,Rology,Rology,Egypt,Middle East,Healthcare,n/a,New Funding/Resour...,-,-
8,Apr 2022,Food Lab,Food Lab,Egypt,Middle East,Food and Beverages,n/a,New Funding/Resour...,$4.50m,-
9,Apr 2022,Pylon,Pylon,Egypt,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$19.00m,-
10,Apr 2022,Right Farm,Right Farm,UAE,Pakistan,Software & IT services,n/a,New Funding/Resour...,$2.80m,-
11,Apr 2022,Elloe,Elloe,United States,Kenya,Communications,n/a,New Funding/Resour...,-,-
12,Apr 2022,ShapShap,ShapShap,Nigeria,Africa,Transportation & War...,n/a,New Funding/Resour...,-,-
13,Apr 2022,SAAS Properties,SAAS Properties,UAE,Middle East,Real estate,n/a,New Investment Stra...,-,-
14,Apr 2022,Groups360,Groups360,United States,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$35.00m,-
15,Apr 2022,Sycamore.NG,Sycamore.NG,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
