ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Nov 2019,Ad-Lib.io,Ad-Lib.io,United Kingdom,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,-,-
2,Nov 2019,Guangzhou Auto...,Guangzhou Auto...,China,Nigeria,Automotive OEM,Manufacturing,Considering Project (...,-,-
3,Nov 2019,Gree Electric Appl...,Gree Electric Appl...,China,Nigeria,Consumer electronics,Manufacturing,Considering Project (...,-,-
4,Nov 2019,Winterlight Labs,Winterlight Labs,Canada,Middle East,Medical devices,n/a,New Funding/Resour...,-,-
5,Nov 2019,British Broadcasti...,British Broadcasti...,United Kingdom,India,Communications,n/a,New Investment Stra...,-,-
6,Nov 2019,Orange (France T...,Orange Bank,France,Africa,Financial services,n/a,New Investment Stra...,-,-
7,Nov 2019,OPay,OPay,Nigeria,Kenya,Financial services,n/a,New Funding/Resour...,-,-
8,Nov 2019,Laugfs Holdings,Laugfs Gas,Sri Lanka,Kenya,"Coal, oil & gas",n/a,New Investment Stra...,-,-
9,Nov 2019,Cummins,Cummins Africa ...,United States,Africa,Engines & turbines,Manufacturing,Considering Project (...,-,-
10,Nov 2019,Pcysys,Pcysys,Israel,North America,Software & IT services,n/a,New Funding/Resour...,-,-
11,Nov 2019,Deutsche Post,Saloodo,Germany,Africa,Software & IT services,n/a,New Investment Stra...,-,-
12,Nov 2019,Transsion Holding...,Transsion Holding...,Hong Kong,Africa,Communications,Manufacturing,New Funding/Resour...,-,$300.00m
13,Nov 2019,PalmPay,PalmPay,Nigeria,Ghana,Financial services,n/a,New Funding/Resour...,-,-
14,Nov 2019,SEEK Limited,IDP Education,Australia,Africa,Business services,n/a,New Investment Stra...,-,-
15,Nov 2019,Trukker,Trukker,UAE,Egypt,Software & IT services,n/a,New Funding/Resour...,-,-
