ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Nov 2021,Asilimia,Asilimia,Kenya,Africa,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
2,Nov 2021,Busha Digital,Busha Digital,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$4.20m,-
3,Nov 2021,Lnddo,Lnddo,UAE,Saudi Arabia,Software & IT services,n/a,New Funding/Resour...,$3.00m,-
4,Nov 2021,Render,Render,United States,United States,Software & IT services,n/a,New Funding/Resour...,$20.00m,-
5,Nov 2021,Hayi,Hayi,UAE,Middle East,Software & IT services,n/a,New Funding/Reso...,$0.32m,-
6,Nov 2021,Benchling,Benchling,United States,Middle East,Software & IT services,n/a,New Funding/Resour...,$100.00m,-
7,Nov 2021,Ignition (Practice ...,Ignition (Practice ...,Australia,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$50.00m,-
8,Nov 2021,Paycraft,Paycraft,India,Middle East,Financial services,n/a,New Investment Stra...,-,-
9,Nov 2021,Shuttlers,Shuttlers,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,-,$1.60m
10,Nov 2021,Jumo.World,Jumo.World,South Africa,Nigeria,Software & IT services,n/a,New Funding/Resour...,$120.00m,-
11,Nov 2021,Petpooja,Petpooja,India,Middle East,Software & IT services,n/a,New Funding/Resour...,$4.50m,-
12,Nov 2021,Mixpanel,Mixpanel,United States,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$200.00m,-
13,Nov 2021,Craydel,Craydel,Kenya,Africa,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
14,Nov 2021,Africa Health Hol...,Africa Health Hol...,Ghana,Nigeria,Healthcare,n/a,New Funding/Reso...,$18.00m,-
15,Nov 2021,DrugStoc,DrugStoc,Nigeria,Africa,Pharmaceuticals,n/a,New Funding/Resour...,$4.40m,-
