ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2018,Biosure,Biosure,United Kingdom,Kenya,Medical devices,n/a,New Investment Stra...,-,-
2,Jul 2018,Emailage,Emailage,United States,Canada,Software & IT services,n/a,New Investment Stra...,-,-
3,Jul 2018,Airbus Group (Eu...,Airbus,Netherlands,Côte d Ivoire,Aerospace,n/a,New Investment Stra...,-,-
4,Jul 2018,Hero Group,Hero Future Ener...,India,Indonesia,Renewable energy,Electricity,Considering Projec...,-,-
5,Jul 2018,YouFarm,YouFarm,Zimbabwe,Zambia,Financial services,n/a,New Investment Stra...,-,-
6,Jun 2018,HTL Aircon,HTL Aircon,India,Thailand,Business services,n/a,Considering Projec...,-,-
7,Jun 2018,Swiss-Belhotel,Swiss-Belhotel,Hong Kong,Africa,Hotels & tourism,Construction,Considering Project (...,-,-
8,Jun 2018,Briglobe (Onesha),Briglobe (Onesha),Kenya,United States,Software & IT services,n/a,New Funding/Reso...,-,-
9,Jun 2018,Nissan,Nissan,Japan,India,Automotive OEM,n/a,New Investment Stra...,-,-
10,Jun 2018,Freshworks (Fres...,Freshworks (Fres...,United States,Nigeria,Software & IT services,"Sales, Marketing & ...",Considering Project (...,-,-
11,Jun 2018,Hansae,Hansae,South Korea,Africa,Textiles,Manufacturing,Considering Project (...,-,-
12,Jun 2018,Bolt (Taxify),Bolt (Taxify),Estonia,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
13,Jun 2018,Insect Technolog...,AgriProtein,United Kingdom,Asia-Pacific,Food and Beverages,Manufacturing,Considering Projec...,-,-
14,Jun 2018,Binance,Binance,Hong Kong,Africa,Financial services,n/a,New Investment Stra...,-,-
15,Jun 2018,Golix,Golix,Zimbabwe,Africa,Financial services,n/a,New Funding/Resour...,-,$32.00m
