ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Oct 2024,Rabbit Mobility,Rabbit Mobility,Egypt,Africa,Software & IT services,n/a,New Funding/Resour...,$1.30m,-
2,Oct 2024,Africa Specialty R...,Africa Specialty R...,United Kingdom,Middle East,Financial services,n/a,New Investment Stra...,-,-
3,Oct 2024,Cirdan Imaging,Cirdan Imaging,United Kingdom,United States,Software & IT services,n/a,New Funding/Resour...,$9.70m,-
4,Oct 2024,4Partners,4Partners,UAE,Middle East,Transportation & War...,n/a,New Funding/Resour...,$3.60m,-
5,Oct 2024,Chowdeck,Chowdeck,Nigeria,Kenya,Food and Beverages,n/a,New Investment Stra...,-,-
6,Oct 2024,Dusit Thani (Dusi...,Dusit Thani (Dusi...,Thailand,Africa,Hotels & tourism,n/a,New Investment Stra...,-,-
7,Oct 2024,Association Famili...,Decathlon (Oxyla...,France,Egypt,Textiles,n/a,New Investment Stra...,-,-
8,Oct 2024,Sanofi,Sanofi,France,Egypt,Pharmaceuticals,n/a,New Investment Stra...,-,-
9,Oct 2024,Alstom,Alstom,France,Egypt,Non-automotive tran...,n/a,New Investment Stra...,-,-
10,Oct 2024,Eurazeo,Eurazeo,France,Egypt,Financial services,n/a,New Investment Stra...,-,-
11,Oct 2024,Lesaffre,Lesaffre,France,Egypt,Food and Beverages,n/a,New Investment Stra...,-,$100.00m
12,Oct 2024,Zepz,Zepz,United Kingdom,Africa,Financial services,n/a,New Funding/Resour...,$267.00m,-
13,Oct 2024,Bolt (Taxify),Bolt (Taxify),Estonia,South Africa,Software & IT serv...,"Sales, Marketing & ...",Considering Project (...,-,-
14,Oct 2024,Aspire Global Pat...,Aspire Global Pat...,United Kingdom,Pakistan,Business services,Business Services,New Investment Stra...,-,-
15,Oct 2024,Datasonic,Datasonic,Malaysia,Asia-Pacific,Business services,n/a,New Investment Stra...,-,-
