ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Nov 2018,Daikin Industries,Daikin Industries,Japan,Africa,Industrial equipment,n/a,New Investment Stra...,-,-
2,Nov 2018,Fura Gems,Fura Gems,Canada,Colombia,Minerals,Extraction,New Funding/Resour...,-,-
3,Nov 2018,Mondi Group,Mondi Group,United Kingdom,South Africa,"Paper, printing & p...",n/a,Considering Project (...,-,$572.56m
4,Nov 2018,Roha,First Brick Holdin...,United States,Africa,Communications,ICT & Internet Infra...,Considering Project (...,-,$50.00m
5,Nov 2018,Terra Drone,Terra Drone,Japan,Africa,Aerospace,n/a,New Investment Stra...,-,-
6,Nov 2018,BP (British Petrol...,BP (British Petrol...,United Kingdom,Mozambique,"Coal, oil & gas",n/a,New Investment Stra...,-,-
7,Nov 2018,Twiga Foods,Twiga Foods,Kenya,Africa,Food and Beverages,n/a,New Funding/Resour...,-,-
8,Nov 2018,Simply Financial ...,Simply Financial ...,South Africa,Kenya,Financial services,n/a,New Funding/Resour...,-,-
9,Nov 2018,Contec Global Gr...,AfriOne,United Kingdom,Benin,Business machines...,Manufacturing,Considering Projec...,-,-
10,Nov 2018,USM Holdings,Nexign,Russia,Nigeria,Software & IT services,n/a,New Investment Stra...,-,-
11,Nov 2018,ApisProtect,ApisProtect,Ireland,South Africa,Software & IT services,n/a,New Funding/Resour...,-,-
12,Nov 2018,Alcide,Alcide,Israel,United States,Software & IT services,n/a,New Funding/Resour...,-,-
13,Nov 2018,UNICAF,UNICAF,Cyprus,Africa,Business services,Education & Training,Considering Projec...,-,-
14,Nov 2018,MJardin Group,MJardin Group,United States,United States,Pharmaceuticals,n/a,New Funding/Resour...,-,-
15,Nov 2018,Sulekha,Sulekha,India,Australia,Software & IT services,n/a,New Investment Stra...,-,-
