ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Feb 2020,Sixgill,Sixgill,Israel,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$15.00m,-
2,Feb 2020,Nuqul Group,Fine Hygienic Hol...,Jordan,Saudi Arabia,"Paper, printing & pac...",Manufacturing,Considering Project (...,-,-
3,Feb 2020,Inlaks,Inlaks,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
4,Feb 2020,Aella Credit,Aella Credit,Nigeria,Africa,Financial services,n/a,New Funding/Resour...,$10.00m,-
5,Feb 2020,Ooredoo (Qatar T...,Ooredoo (Qatar T...,Qatar,Algeria,Communications,n/a,New Investment Stra...,-,$431.40m
6,Feb 2020,Gebeya,Gebeya,Ethiopia,Africa,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
7,Feb 2020,Gamiphy,Gamiphy,United States,Middle East,Software & IT services,n/a,New Funding/Resour...,-,-
8,Feb 2020,Vezeeta,Vezeeta,UAE,Nigeria,Software & IT services,n/a,New Investment Stra...,-,-
9,Feb 2020,Howler,Howler,South Africa,Asia-Pacific,Leisure & entertainm...,n/a,New Funding/Resour...,-,-
10,Feb 2020,Bombardier,Bombardier,Canada,Egypt,Non-automotive tran...,Manufacturing,Considering Project (...,-,-
11,Feb 2020,Showpad,Showpad,Belgium,North America,Software & IT services,n/a,New Investment Stra...,-,-
12,Feb 2020,EBP Informatique,EBP Informatique,France,Spain,Software & IT services,n/a,New Investment Stra...,-,-
13,Feb 2020,Baton Systems,Baton Systems,United States,Middle East,Software & IT services,n/a,New Funding/Resour...,$4.00m,-
14,Jan 2020,OpsRamp,OpsRamp,United States,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$37.50m,-
15,Jan 2020,Azelio,Azelio,Sweden,Ghana,Renewable energy,Electricity,Considering Project (...,-,-
