ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Feb 2015,The Emirates Gro...,The Emirates Gro...,UAE,Latin America & C...,Transportation & ...,"Logistics, Distribu...",Considering Project (...,-,-
2,Feb 2015,Aero Group,Woodland,India,Latin America & C...,Textiles,Retail,Considering Project (...,-,-
3,Feb 2015,Emaar Properties,Emaar Properties,UAE,Egypt,Hotels & tourism,n/a,New Investment Stra...,-,-
4,Feb 2015,SaviCorp,SaviCorp,United States,Latin America & C...,Automotive compo...,"Sales, Marketing ...",Considering Project (...,-,-
5,Feb 2015,AZA Group (BitPe...,AZA Group (BitPe...,Kenya,Uganda,Software & IT serv...,n/a,New Funding/Resour...,-,-
6,Feb 2015,Swiss-Belhotel,Swiss-Belhotel,Hong Kong,Tunisia,Hotels & tourism,Construction,Considering Project (...,-,-
7,Feb 2015,Mainstream Rene...,Mainstream Rene...,Ireland,Latin America & C...,Renewable energy,n/a,New Investment Stra...,-,-
8,Feb 2015,Aujan Industries,Aujan Coca-Cola ...,Saudi Arabia,Middle East,Food and Beverages,n/a,New Investment Stra...,-,$400.00m
9,Feb 2015,Lego,Lego,Denmark,Asia-Pacific,Consumer products,Unspecified,New Investment Stra...,-,-
10,Feb 2015,SmartPrac,SmartPrac,South Africa,Zimbabwe,Software & IT serv...,n/a,New Investment Stra...,-,-
11,Feb 2015,goSwiff,goSwiff,Singapore,Latin America & C...,Software & IT serv...,n/a,New Investment Stra...,-,-
12,Feb 2015,Administrate,Administrate,United Kingdom,Latin America & C...,Software & IT serv...,n/a,New Funding/Resour...,-,-
13,Jan 2015,Mobile Streams,Mobile Streams,United Kingdom,Nigeria,Software & IT serv...,n/a,New Investment Stra...,-,-
14,Jan 2015,Knowlarity,Knowlarity,India,Latin America & C...,Communications,n/a,New Investment Stra...,-,-
15,Jan 2015,Hightowers Petrol...,Hightowers Petrol...,United States,Middle East,"Coal, oil & gas",n/a,New Investment Stra...,-,-
