ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Nov 2013,Panasonic (Matsu...,Panasonic (Matsu...,Japan,Middle East,Consumer electron...,"Sales, Marketing ...",Considering Project (...,-,-
2,Nov 2013,CB Richard Ellis (...,CB Richard Ellis H...,United States,Middle East,Real estate,n/a,New Investment Stra...,-,-
3,Nov 2013,Evernote,Evernote,United States,Africa,Software & IT serv...,n/a,New Investment Stra...,-,-
4,Nov 2013,Ricoh Company,Ricoh Company,Japan,Africa,Business machines...,"Sales, Marketing & ...",Considering Project (...,-,-
5,Nov 2013,Voltech,Voltech,India,Nigeria,Electronic compon...,n/a,New Investment Stra...,-,-
6,Nov 2013,International Petr...,Moeve (Cepsa),UAE,Latin America & C...,Chemicals,n/a,New Investment Stra...,-,$10.00bn
7,Nov 2013,Infibeam,Infibeam,India,Asia-Pacific,Software & IT serv...,n/a,New Investment Stra...,-,-
8,Nov 2013,National Bank of ...,National Bank of ...,UAE,Africa,Financial services,Business Services,Considering Project (...,-,-
9,Nov 2013,Main One Cable C...,Main One Cable C...,Mauritius,Africa,Communications,ICT & Internet Inf...,Considering Project (...,-,-
10,Oct 2013,RetailNext,RetailNext,United States,Middle East,Software & IT serv...,n/a,New Investment Stra...,-,-
11,Oct 2013,Forte Oil,Forte Oil,Nigeria,Sierra Leone,"Coal, oil & gas",n/a,Considering Project (...,-,-
12,Oct 2013,OnePoint Global,OnePoint Global,United Kingdom,North America,Software & IT serv...,"Sales, Marketing & ...",Considering Project (...,-,-
13,Oct 2013,National Bank of ...,National Bank of ...,UAE,Asia-Pacific,Financial services,n/a,Considering Projec...,-,-
14,Oct 2013,Kenshoo,Kenshoo,Israel,Middle East,Software & IT serv...,"Sales, Marketing ...",Considering Project (...,-,-
15,Oct 2013,Intuitive Business...,Intuitive Business...,United Kingdom,Asia-Pacific,Software & IT serv...,"Sales, Marketing ...",Considering Project (...,-,-
