ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Mar 2021,Curacel,Curacel,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$0.45m,-
2,Mar 2021,Abwaab,Abwaab,Jordan,Egypt,Software & IT services,n/a,New Funding/Resour...,$5.10m,-
3,Mar 2021,NOW Money,NOW Money,UAE,Bahrain,Financial services,n/a,New Funding/Resour...,$7.00m,-
4,Mar 2021,Dole Food,Dole Food,United States,Asia-Pacific,Food and Beverages,n/a,New Investment Stra...,-,-
5,Mar 2021,CropIn Technolog...,CropIn Technolog...,India,Asia-Pacific,Software & IT services,n/a,New Investment Stra...,-,-
6,Mar 2021,Zoho (AdventNet),Zoho (AdventNet),India,Middle East,Software & IT services,ICT & Internet Infra...,Considering Project (...,-,$8.50m
7,Mar 2021,Kuda (Kudimoney),Kuda (Kudimoney),United Kingdom,Nigeria,Financial services,n/a,New Funding/Resour...,$25.00m,-
8,Mar 2021,Skudu,Skudu,South Africa,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
9,Mar 2021,Yap,Yap,India,Saudi Arabia,Software & IT services,n/a,New Funding/Resour...,$10.00m,-
10,Mar 2021,GrubTech,GrubTech,UAE,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$3.40m,-
11,Mar 2021,Dryad Networks,Dryad Networks,Germany,Africa,Industrial equipme...,n/a,New Funding/Resour...,$1.91m,-
12,Mar 2021,Max Property Gro...,Max Property Gro...,Netherlands,United States,Financial services,n/a,New Funding/Resour...,$0.59m,-
13,Mar 2021,Curaleaf,Curaleaf,United States,Spain,Pharmaceuticals,n/a,New Funding/Resour...,-,-
14,Mar 2021,Nabta Health,Nabta Health,UAE,Saudi Arabia,Healthcare,n/a,New Investment Stra...,-,-
15,Mar 2021,Randstad,RiseSmart,Netherlands,India,Business services,n/a,New Personnel,-,-
