ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Dec 2019,Hostmaker,Hostmaker,United Kingdom,Saudi Arabia,Business services,n/a,New Funding/Resour...,-,-
2,Dec 2019,Datasec Solutions,Datasec Solutions,Australia,United States,Software & IT services,n/a,New Investment Stra...,-,-
3,Dec 2019,Wasla,Wasla,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$1.00m,-
4,Dec 2019,xFarm,xFarm,Italy,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,-,-
5,Dec 2019,Mines,Mines,United States,Nigeria,Software & IT services,n/a,New Funding/Resour...,-,$20.00m
6,Nov 2019,Samasource,Samasource,United States,Africa,Software & IT services,n/a,New Funding/Resour...,-,$14.80m
7,Nov 2019,PhosAgro,PhosAgro,Russia,Africa,Chemicals,"Sales, Marketing & ...",Considering Projec...,-,-
8,Nov 2019,Copia Global,Copia Global,Kenya,Africa,Consumer products,n/a,New Funding/Resour...,-,-
9,Nov 2019,Baladna,Baladna,Qatar,Asia-Pacific,Food and Beverages,Manufacturing,New Investment Stra...,-,-
10,Nov 2019,Crowd Analyzer,Crowd Analyzer,UAE,Saudi Arabia,Software & IT services,n/a,New Funding/Resour...,-,-
11,Nov 2019,Coca-Cola,Coca-Cola,United States,Africa,Food and Beverages,"Logistics, Distribu...",Considering Projec...,-,-
12,Nov 2019,gnuGrid Africa,gnuGrid Africa,Uganda,Africa,Renewable energy,n/a,New Funding/Resour...,-,-
13,Nov 2019,Senaat General H...,Dubai Cable (Duc...,UAE,India,Electronic components,Manufacturing,Considering Project (...,-,-
14,Nov 2019,Loom Systems,Loom Systems,United States,North America,Software & IT services,n/a,New Funding/Resour...,-,-
15,Nov 2019,Bunge,Bunge Loders Cro...,United States,Tunisia,Food and Beverages,n/a,New Investment Stra...,-,-
