ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jun 2010,JPMorgan Chase ...,JPMorgan Chase ...,United States,Latin America & C...,Financial services,Business Services,New Investment Stra...,-,-
2,Jun 2010,Rosspetsplav,Rosspetsplav,Russia,Democratic Repu...,Metals,Manufacturing,Considering Project (...,-,-
3,Jun 2010,Walmart,Walmart,United States,South Africa,Food and Beverages,Retail,Considering Project (...,-,-
4,Jun 2010,TTE Technical Trai...,TTE Technical Trai...,United Kingdom,Africa,Business services,Business Services,New Investment Stra...,-,-
5,Jun 2010,Saudi Telecom Co...,Saudi Telecom Co...,Saudi Arabia,Asia-Pacific,Communications,n/a,New Investment Stra...,-,-
6,Jun 2010,MTN Group,MTN Group,South Africa,Middle East,Communications,n/a,New Investment Stra...,-,-
7,Jun 2010,Alteco,Alteco Chemical,Japan,Asia-Pacific,Chemicals,"Logistics, Distribu...",Considering Project (...,-,-
8,Jun 2010,Hassad Food,Hassad Food,Qatar,India,Food and Beverages,n/a,New Investment Stra...,-,$600.00m
9,Jun 2010,Chemical Compa...,Chemical Compa...,Malaysia,Asia-Pacific,Chemicals,n/a,New Investment Stra...,-,-
10,Jun 2010,FirstRand,First National Ban...,South Africa,Africa,Financial services,Business Services,Considering Project (...,-,-
11,Jun 2010,Maretron,Maretron,United States,Middle East,Electronic components,n/a,New Personnel,-,-
12,Jun 2010,e& (Etisalat Group),E-Vision,UAE,Asia-Pacific,Leisure & entertainm...,n/a,Considering Project (...,-,-
13,Jun 2010,Publicis Groupe,Saatchi & Saatchi,France,Middle East,Business services,Business Services,New Personnel,-,-
14,Jun 2010,Al Kharafi Group,Al Kharafi Group,Kuwait,Egypt,"Coal, oil & gas",Electricity,Considering Project (...,-,$1.00bn
15,Jun 2010,Bahrain Telecom...,Bahrain Telecom...,Bahrain,Asia-Pacific,Communications,n/a,New Investment Stra...,-,-
