ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,May 2011,International Busi...,International Busi...,United States,Africa,Software & IT serv...,"Sales, Marketing ...",Considering Project (...,-,-
2,May 2011,Landmark Group,Max Retail,UAE,Middle East,Textiles,Retail,Considering Project (...,-,-
3,May 2011,InterContinental ...,InterContinental ...,United Kingdom,Africa,Hotels & tourism,Unspecified,New Personnel,-,-
4,May 2011,Wireline Engineer...,Wireline Engineer...,United Kingdom,Latin America & C...,Industrial equipme...,Unspecified,New Investment S...,-,-
5,May 2011,Knovel,Knovel,United States,Middle East,Software & IT serv...,Unspecified,New Investment Stra...,-,-
6,May 2011,Nex Group (ICAP),Traiana,United Kingdom,Middle East,Software & IT serv...,Unspecified,New Personnel,-,-
7,May 2011,Imperial Brands (...,Imperial Brands (...,United Kingdom,Asia-Pacific,Food and Beverages,Unspecified,Considering Projec...,-,-
8,May 2011,Bombardier,Bombardier Aero...,Canada,Morocco,Aerospace,Manufacturing,Considering Project (...,-,-
9,May 2011,Havas,Havas,France,Africa,Business services,Unspecified,New Investment Stra...,-,-
10,May 2011,Letshego Holding...,Letshego Holding...,Botswana,Africa,Financial services,Business Services,Considering Project (...,-,-
11,May 2011,UTEC International,UTEC Survey,United Kingdom,Middle East,Business services,Unspecified,New Investment Stra...,-,-
12,May 2011,Power Grid Corpo...,Power Grid Corpo...,India,Nigeria,Transportation & ...,Unspecified,New Investment Stra...,-,-
13,May 2011,Religare Enterpris...,Religare Capital ...,India,United States,Financial services,Unspecified,New Investment Stra...,-,-
14,Apr 2011,Kinetics Systems,Kinetics Systems,United States,Algeria,Unspecified,Construction,New Overseas Suppli...,-,-
15,Apr 2011,Centrotherm Pho...,Centrotherm Pho...,Germany,Algeria,Renewable energy,Unspecified,New Overseas Suppli...,-,-
