ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Apr 2011,Networkers Inter...,Networkers Inter...,United Kingdom,Latin America & C...,Business services,Business Services,Considering Project (...,-,-
2,Apr 2011,RL360 (Royal Lon...,RL360 (Royal Lon...,United Kingdom,Africa,Financial services,Unspecified,New Investment Stra...,-,-
3,Apr 2011,SpectorSoft,SpectorSoft,United States,Middle East,Software & IT serv...,Unspecified,New Investment Stra...,-,-
4,Apr 2011,Avocet Mining,Avocet Mining,United Kingdom,Africa,Metals,Unspecified,New Funding/Resour...,-,$200.00m
5,Mar 2011,O2mc,O2mc,Netherlands,Middle East,Software & IT serv...,Unspecified,New Personnel,-,-
6,Mar 2011,Aptech,Aptech,India,Latin America & C...,Business services,Unspecified,New Investment Stra...,-,-
7,Mar 2011,Mine Site Technol...,Mine Site Technol...,Australia,Latin America & C...,Communications,n/a,New Funding/Resour...,-,-
8,Mar 2011,BNP Paribas,BNP Paribas,France,Africa,Financial services,Unspecified,New Investment Stra...,-,-
9,Mar 2011,Flotek Industries,Flotek Industries,United States,Latin America & C...,Chemicals,Unspecified,New Investment Stra...,-,-
10,Mar 2011,Cimpor,Cimpor,Portugal,Morocco,Building materials,n/a,New Investment Stra...,-,-
11,Mar 2011,uptime software,uptime software,Canada,Turkey,Software & IT serv...,Unspecified,New Investment Stra...,-,-
12,Mar 2011,Infosys Technolo...,Infosys Technolo...,India,Africa,Software & IT serv...,Unspecified,New Investment Stra...,-,-
13,Mar 2011,Bitumat,Orimix Concrete ...,Saudi Arabia,Saudi Arabia,Building materials,Unspecified,New Investment Stra...,-,-
14,Mar 2011,LinkedIn,LinkedIn,United States,Middle East,Software & IT serv...,Unspecified,New Personnel,-,-
15,Mar 2011,SABMiller,SABMiller,United Kingdom,Africa,Food and Beverages,Unspecified,New Investment Stra...,-,-
