ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Oct 2021,Fintech Galaxy,Fintech Galaxy,UAE,Middle East,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
2,Oct 2021,Picus Security,Picus Security,United States,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$24.00m,-
3,Oct 2021,Asante Financial ...,Asante Financial ...,Kenya,Nigeria,Financial services,n/a,New Funding/Resour...,$7.50m,-
4,Oct 2021,Sendbox,Sendbox,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$1.80m,-
5,Oct 2021,Qair,Qair,France,Africa,Renewable energy,n/a,New Investment Stra...,-,-
6,Oct 2021,Chari.ma,Chari.ma,Morocco,Africa,Software & IT services,n/a,New Funding/Resour...,$5.00m,-
7,Oct 2021,Bitmama,Bitmama,United States,Africa,Software & IT services,n/a,New Funding/Resour...,$0.35m,-
8,Oct 2021,Tala,Tala,United States,United States,Financial services,n/a,New Funding/Resour...,$145.00m,-
9,Oct 2021,EditShare,EditShare,United States,Latin America & C...,Software & IT services,"Sales, Marketing & ...",New Investment Stra...,-,-
10,Oct 2021,Redcliffe Hygiene,Redcliffe Hygiene,India,Asia-Pacific,"Paper, printing & pac...",n/a,New Investment Stra...,-,-
11,Oct 2021,UnaBiz,UnaBiz,Singapore,Japan,Communications,n/a,New Funding/Resour...,$25.00m,-
12,Oct 2021,NTPC Limited (Na...,NTPC Limited (Na...,India,Middle East,"Coal, oil & gas",n/a,New Investment Stra...,-,-
13,Oct 2021,OTO,OTO,Saudi Arabia,Bahrain,Software & IT services,n/a,New Funding/Resour...,$3.00m,-
14,Oct 2021,Mono (Mono Fina...,Mono (Mono Fina...,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$15.00m,-
15,Oct 2021,Akinon,Akinon,Turkey,Asia-Pacific,Consumer products,n/a,New Funding/Resour...,$20.00m,-
