ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jan 2022,Diaxxo,Diaxxo,Switzerland,Nigeria,Medical devices,n/a,New Funding/Resour...,-,-
2,Jan 2022,Anavo (Anavo Me...,Anavo (Anavo Me...,Switzerland,Nigeria,Medical devices,n/a,New Funding/Resour...,-,-
3,Jan 2022,Giift,Giift,Singapore,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$50.00m,-
4,Jan 2022,Lipa Later,Lipa Later,Kenya,Nigeria,Software & IT services,n/a,New Funding/Resour...,$12.00m,-
5,Jan 2022,Fintech Farm,Fintech Farm,United Kingdom,Nigeria,Software & IT services,n/a,New Funding/Resour...,$7.40m,-
6,Jan 2022,Shield,Shield,Israel,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$15.00m,-
7,Jan 2022,Thredd (Global Pr...,Thredd (Global Pr...,United Kingdom,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$100.00m,-
8,Jan 2022,SeamlessHR,SeamlessHR,Nigeria,Africa,Software & IT services,n/a,New Funding/Resour...,$10.00m,-
9,Jan 2022,GoStudent,GoStudent,Austria,United States,Business services,n/a,New Funding/Resour...,$339.84m,-
10,Jan 2022,Gahez,Gahez,Egypt,Africa,Software & IT services,n/a,New Funding/Resour...,$2.00m,-
11,Jan 2022,Alvin Technologies,Alvin Technologies,Kenya,Nigeria,Software & IT services,n/a,New Funding/Resour...,$0.74m,-
12,Jan 2022,Upgrad,Upgrad,India,Asia-Pacific,Business services,n/a,New Personnel,-,-
13,Jan 2022,Tugende,Tugende,Uganda,Kenya,Software & IT services,n/a,New Funding/Resour...,$17.00m,-
14,Jan 2022,AppLearn,AppLearn,United Kingdom,South Africa,Software & IT services,n/a,New Funding/Resour...,-,-
15,Jan 2022,ThankUCash (Co...,ThankUCash (Co...,Nigeria,Kenya,Software & IT services,n/a,New Funding/Resour...,$5.30m,-
