ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Aug 2015,Multeka Engineer...,Multeka Engineer...,Saudi Arabia,Ethiopia,Business services,n/a,New Investment Stra...,-,-
2,Aug 2015,Fawry Banking & ...,Fawry Banking & ...,Egypt,Middle East,Software & IT serv...,n/a,New Investment Stra...,-,-
3,Aug 2015,Accor,Accor,France,Africa,Hotels & tourism,Construction,Considering Project (...,-,-
4,Jul 2015,Emirates National...,Emirates National...,UAE,Middle East,"Coal, oil & gas",n/a,New Investment Stra...,-,-
5,Jul 2015,Techwave Consult...,Techwave Consult...,United States,Asia-Pacific,Software & IT serv...,n/a,New Investment Stra...,-,-
6,Jul 2015,GE Aerospace (G...,GE Aerospace (G...,United States,Africa,"Coal, oil & gas",n/a,New Investment Stra...,-,-
7,Jul 2015,Siemens,Siemens,Germany,Egypt,Communications,n/a,New Overseas Suppli...,-,-
8,Jul 2015,China State Cons...,China State Cons...,China,Zimbabwe,Business services,n/a,New Overseas Suppli...,-,-
9,Jul 2015,ISON,ISON BPO,India,Africa,Business services,Customer Contact...,Considering Project (...,-,-
10,Jul 2015,Media Global Links,Media Global Links,Japan,Middle East,Communications,n/a,New Investment Stra...,-,-
11,Jul 2015,Milvik (Bima),Milvik (Bima),Sweden,Latin America & C...,Financial services,n/a,New Funding/Resour...,-,-
12,Jul 2015,Juhayna Food Ind...,Juhayna Food Ind...,Egypt,Middle East,Food and Beverages,Manufacturing,Considering Projec...,-,-
13,Jul 2015,Arla Foods,Arla Foods,Denmark,Middle East,Food and Beverages,Manufacturing,Considering Projec...,-,-
14,Jul 2015,Ethoca,Ethoca,Canada,Latin America & C...,Software & IT serv...,n/a,New Funding/Resour...,-,-
15,Jul 2015,Rokk3r Labs,Rokk3r Labs,United States,Latin America & C...,Business services,n/a,New Funding/Resour...,-,-
