ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Jul 2026,Fincart,Fincart,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,$2.80m,-
2,Jul 2026,Cregis,Cregis,Hong Kong,Nigeria,Software & IT services,n/a,New Investment Stra...,-,-
3,Jul 2026,Reme-D,Reme-D,United States,Africa,Biotechnology,n/a,New Funding/Resour...,$1.45m,-
4,Jul 2026,Pepperstone Fina...,Pepperstone Fina...,Australia,Bahrain,Financial services,n/a,New Investment Stra...,-,-
5,Jul 2026,NODWIN Gaming,NODWIN Gaming,India,Middle East,Software & IT services,n/a,New Investment Stra...,-,-
6,Jul 2026,Cellecor Gadgets,Cellecor Gadgets,India,Africa,Consumer electronics,n/a,New Investment Stra...,-,-
7,Jul 2026,Alternative Energ...,Alternative Energ...,Kuwait,Middle East,Renewable energy,n/a,New Investment Stra...,-,-
8,Jul 2026,Infinia,Infinia,Uruguay,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$13.50m,-
9,Jul 2026,Adage Automation,Adage Automation,India,United States,Industrial equipment,n/a,New Funding/Resour...,$24.09m,-
10,Jul 2026,Djamo,Djamo,Côte d Ivoire,Africa,Software & IT services,n/a,New Investment Stra...,-,-
11,Jul 2026,Stabyl,Stabyl,United States,Africa,Software & IT services,n/a,New Funding/Resour...,$2.70m,-
12,Jul 2026,Planno,Planno,UAE,United States,Software & IT services,n/a,New Funding/Resour...,-,-
13,Jul 2026,POC,POC,Sweden,Middle East,Consumer products,n/a,New Investment Stra...,-,-
14,Jul 2026,XSquare Payment...,XSquare Payment...,UAE,Middle East,Software & IT services,n/a,New Funding/Resour...,-,-
15,Jul 2026,TPP Group,TPP Group,Egypt,Middle East,Software & IT services,n/a,New Funding/Resour...,-,-
